﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[135,89,155,73,137,186,65,98,141,10,44,81,129,54,87,127,23,149,160,199,166,29,64,99,153,62,113,50,56,184,174,180,170,111,131,179,107,118,163,74,197,85]",一 一,space,1.6418,space,4.4682,space,25.2682,space,28.5032,space,37.3607,space,6.7481,space,2.7045,3,4.6308,1,4.5821,3,4.2873,2,5.6355,2,4.4015,0,0,0,0,1,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,space,4.2091,"[""LeftButton_2""]",-0.301041651,-0.355555556,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""LeftButton_2""]",-0.278125,-0.294444444,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""LeftButton_2""]",-0.280208302,-0.298148176,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,0.2,-0.2875,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,30.11363636,3.7313,space,1.9319,19.06565657,6.6573,0,0,0,0,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.257291698,-0.490740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,64.62542409,4.4957,space,0.804,33.58585859,6.5077,0,1,1,1,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.291666698,-0.516666667,1,0,0,RightButton,"[""RightButton""]",69,7.4454,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,4.0458,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.272916651,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,38,3.6664,space,62,8.1424,,,,,,,0,3,3,3,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,1.5452,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.265625,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,62.20539363,3.8278,space,0.6232,29.16666667,5.362,0,4,4,4,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.319791698,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,33.05976752,2.1504,space,0.337,63.78367646,4.9795,0,5,5,5,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,,,,,,,,,,,
