﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
"[165,48,88,134,197,141,202,124,144,121,82,184,71,163,47,75,90,99,117,179,56,77,89,63,150,69,148,106,188,101,156,118,50,171,137,6,17,122,173,110,30,191]",好运跟着来呗,space,1.7373,space,1.494,space,1.4792,space,0.5511,space,5.3822,space,16.4078,space,2.7751,3,4.726,3,5.1002,3,7.6782,1,7.9542,2,2.1725,0,0,0,0,1,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.1588,space,42.6437,space,0.6164,space,23.59,space,1.7314,space,0.9926,3,1.7445,1,3.7579,3,5.9663,1,6.2915,2,1.6161,1,0,1,0,1,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.1236,space,0.1404,space,0.1334,space,0.1579,space,1.0974,space,0.4594,3,1.2175,1,3.0507,3,3.1183,3,3.9173,2,1.5942,2,0,2,0,1,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0264,space,0.1282,space,0.1664,space,0.21,space,0.4426,space,0.1931,3,1.4509,1,2.2011,3,0.809,2,3.9584,2,4.0177,3,0,3,0,1,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,space,2.365,"[""LeftButton_2""]",-0.267330552,-0.33333341,1,0,0,LeftButton_2,0,0,0,0,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,"[""RightButton_2""]",0.299746191,-0.339581419,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,"[""RightButton_2""]",0.252099295,-0.297094658,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,0.2,0.320835822,-0.504529873,1,0,0,RightButton,"[""RightButton""]",,,,1.990433372,4.8229,space,0.793,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.268892794,-0.530771672,1,0,0,LeftButton,"[""LeftButton""]",61,2.9374,space,,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,0.7447,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.342315906,-0.494533035,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,56.50787284,2.4538,space,42.70328862,7.877,0,2,2,2,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,4.6424,,,,,,,,,,,,,,,,,
