﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[187,130,171,62,143,86,102,127,61,5,196,157,103,65,120,109,49,34,138,162,112,146,75,78,149,178,72,40,198,87,133,147,180,93,52,20,53,106,177,188,117,164]",快乐修勾,space,1.5133,space,11.7106,space,13.6756,space,6.2496,space,13.1084,space,25.5786,space,1.8422,3,7.2555,1,9.8361,3,8.3048,2,15.2753,2,2.719,0,0,0,0,1,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,space,2.1931,[],0.08125,-0.251851852,0,0,0,0,0,0,2,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""RightButton_2""]",0.261458333,-0.316666667,1,0,0,0,1,1,0,1,LeftButton_2,11dot2.png,大于,小于,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""RightButton_2""]",0.25625,-0.281481481,1,0,0,0,2,2,1,1,RightButton_2,11dot1.png,小于,大于,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,0.2,0.26875,-0.512962963,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,52.31481481,4.4578,space,3.1961,65.67760943,5.2188,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.2875,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,15,5.409,space,31,8.2138,,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,1.2979,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.269791667,-0.501851852,1,0,0,RightButton,"[""RightButton""]",,,,,,,62,7.6669,space,45,11.691,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,1.5015,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.2875,-0.490740741,1,0,0,RightButton,"[""RightButton""]",,,,0.005208333,6.038,space,,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,1.992,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.252083333,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,51.36784512,6.5866,space,6.357,1.388888889,8.2186,0,4,4,4,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.254166667,-0.501851852,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,51.05218855,6.4276,space,3.8348,37.47895623,3.9515,0,5,5,5,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,,,,,,,,,,,
