﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[148,117,161,85,193,2,140,62,175,98,55,122,159,92,64,127,170,87,48,142,190,72,169,71,82,116,203,126,104,155,23,191,132,77,28,110,51,154,37,165,107,189]",爱购i,space,1.706,space,51.5291,space,27.1277,space,10.7547,space,16.7399,space,4.7175,space,2.5633,2,9.6354,1,7.0817,3,6.4578,2,4.7234,2,1.693,0,0,0,0,1,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1277,space,2.1685,space,0.9743,space,0.5119,space,3.5636,space,1.5281,3,1.1601,1,1.4434,3,2.8147,2,1.371,2,1.0738,1,0,1,0,1,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,space,2.3992,"[""RightButton_2""]",0.3125,-0.312962991,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,"[""RightButton_2""]",0.278125048,-0.314814815,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,"[""RightButton_2""]",0.262500048,-0.279629601,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,0.6,-0.240624984,-0.511111083,1,0,0,LeftButton,"[""LeftButton""]",70,4.425,space,1.5534,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.261458317,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.994791905,8.2328,space,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,1.1751,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.277083317,-0.481481481,1,0,0,RightButton,"[""RightButton""]",,,,,4.208333492,2.3656,space,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,0.7398,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.346875032,-0.507407436,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,71.46464807,5.3998,space,25.06313452,8.6025,0,3,3,3,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,2.5514,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.267708302,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.316666683,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,5,5,5,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.294791698,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,93.77105019,3.1614,space,3.493265191,4.3531,0,6,6,6,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,2.0366,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.322916667,-0.511111083,1,0,0,RightButton,"[""RightButton""]",,,,,4.307291508,2.0657,space,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,0.75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.269791683,-0.503703788,1,0,0,RightButton,"[""RightButton""]",,,,,,,,92,3.1699,space,38,9.5281,,,,,,0,8,8,8,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,0.7006,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.260416667,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",20,5.4482,space,0.8171,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.226041635,-0.501851824,1,0,0,LeftButton,"[""LeftButton""]",30,2.6872,space,0.3026,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.287499984,-0.514814871,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,4.943,space,12,6.769,,,,,,0,11,11,11,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.5497,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.272916635,-0.535185213,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.463541508,1.6658,space,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.0724,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,-0.267708302,-0.529629601,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,88.19444766,3.2941,space,9.595962004,4.4435,0,13,13,13,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,0.5314,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.295833349,-0.503703788,1,0,0,RightButton,"[""RightButton""]",,,,,4.505208333,1.484,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,0.3258,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,小于,大于,,0.321875016,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,74,2.8404,space,10,4.0519,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,0.4667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,-0.246874968,-0.505555612,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,88,1.7876,space,10,3.2775,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,0.0795,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,爱购i,1,2024-05-31_24h53.12.705,interaction task chi,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,大于,小于,,0.276041667,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,91.35101331,1.6558,space,10.85858506,2.5357,0,17,17,17,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,0.1025,,,,,,,,,,,
