﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[176,62,149,142,159,154,84,36,103,132,22,195,183,49,179,94,112,89,161,155,137,109,66,121,9,31,54,61,164,57,202,131,123,116,80,191,105,78,102,81,182,178]",用户30686,space,1.3332,space,6.0999,space,30.5774,space,26.5736,space,49.3906,space,6.5807,space,3.7642,3,3.5229,3,19.7486,3,3.434,1,6.2295,3,11.9914,0,0,0,0,1,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.2955,space,13.081,space,3.4494,space,13.0694,space,1.0186,space,1.2492,3,1.5328,1,3.8453,3,2.8229,1,4.2426,2,2.2319,1,0,1,0,1,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.6575,space,0.6128,space,0.723,space,9.3162,space,0.7581,space,0.6438,3,1.0316,1,1.1338,3,2.2056,2,1.4771,2,1.5978,2,0,2,0,1,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,space,3.4004,"[""LeftButton_2""]",-0.269791667,-0.338888889,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,"[""RightButton_2""]",0.311458333,-0.3,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,"[""RightButton_2""]",0.273958333,-0.242592593,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,0.6,0.308333333,-0.514814815,1,0,0,RightButton,"[""RightButton""]",,,,,,,92,2.5979,space,3.4786,4,7.1156,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.292708333,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,4.989583333,7.9865,space,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,1.2232,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.280208333,-0.524074074,1,0,0,LeftButton,"[""LeftButton""]",85,2.1112,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,2.4471,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.286458333,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,66.83501684,3.2596,space,26.95707071,6.3265,0,3,3,3,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,3.7377,,,,,,,,,,
