﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[183,54,10,87,140,172,57,16,40,125,75,117,106,90,105,127,186,137,83,101,154,160,201,27,65,176,63,141,123,192,77,173,92,187,167,165,145,50,108,116,152,60]",用户41526,space,2.038115,space,1.037475,space,0.850565,space,0.604045,space,0.84689,space,1.57864,space,0.91487,3,1.281645,1,1.09124,3,1.347905,2,2.025625,2,0.65051,0,0,0,0,1,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,space,1.81165,"[""LeftButton_2""]",-0.338213763,-0.296875,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,"[""LeftButton_2""]",-0.247437775,-0.307291667,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,"[""RightButton_2""]",0.32942899,-0.307291667,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,0.6,-0.273792094,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,94.66332431,1.46283,space,1.004385,10.95656418,3.22886,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,小于,大于,,-0.263543192,-0.513020833,1,0,0,LeftButton,"[""LeftButton""]",88,1.52871,space,,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.49368,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,小于,大于,,-0.256222548,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot19.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,,0.323572474,-0.526041667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,85.93770797,1.756765,space,0.210825,14.50596743,2.558555,0,3,3,3,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,小于,大于,,0.294289898,-0.5078125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,97.76905216,3.43071,space,1.19202,3.414082257,5.155315,0,4,4,4,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,,0.32942899,-0.518229167,1,0,0,RightButton,"[""RightButton""]",,,,,,,92,1.530735,space,14,3.685775,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,1.251725,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,小于,大于,,-0.254758419,-0.526041667,1,0,0,LeftButton,"[""LeftButton""]",95,1.720735,space,,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,0.580945,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,,-0.326500732,-0.46875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,,0.245973646,-0.4765625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户41526,1,2024-05-31_01h14.07.033,interaction task chi,2021.2.3,Win32,50.05506057,,,,,,,,,,,,,,,,,大于,小于,,0.263543192,-0.546875,1,0,0,RightButton,"[""RightButton""]",,,,,,,4,1.843825,space,12,3.863035,,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,1.037785,,,,,,,,,,,
