﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[46,65,145,197,176,138,60,2,174,100,18,170,155,90,75,58,25,110,119,154,96,142,185,50,165,203,77,67,79,184,122,127,183,102,94,161,141,115,156,88,51,129]",山鬼丫,space,2.8933,space,3.3063,space,14.5269,space,22.7883,space,40.651,space,6.7342,space,6.2062,4,9.3265,3,9.8105,3,10.6086,3,8.7093,2,7.2415,0,0,0,0,1,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.624,space,9.0051,space,4.1579,space,9.1115,space,2.8379,space,0.9012,3,7.357,1,7.1665,3,6.7321,2,13.4341,2,5.3161,1,0,1,0,1,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,space,7.1069,"[""LeftButton_2""]",-0.315484145,-0.30049973,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,"[""RightButton_2""]",0.362784471,-0.286224169,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot2.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,"[""LeftButton_2""]",-0.291387719,-0.339043627,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,0.6,0.331548443,-0.511777302,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.289602829,-0.511777302,1,0,0,LeftButton,"[""LeftButton""]",,,,4.894021071,11.6707,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,1.5874,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.305667086,-0.493219216,1,0,0,LeftButton,"[""LeftButton""]",81,4.6907,space,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,,0.8044,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.355644829,-0.518915148,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.340473058,-0.496074276,1,0,0,RightButton,"[""RightButton""]",,,,,,,98,2.8648,space,56,9.4919,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,1.8858,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,小于,大于,,0.286033048,-0.480371251,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,55.09332779,4.6057,space,62.84599678,8.2014,0,5,5,5,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,2.1315,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.251227076,-0.524625268,1,0,0,LeftButton,"[""LeftButton""]",,,,4.52811245,3.0531,space,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.1419,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山鬼丫,1,2024-05-31_00h57.52.687,interaction task chi,2021.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,大于,小于,,-0.317269076,-0.468950749,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,7,7,7,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,,,,,,,,,,,,
