﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
"[195,127,203,105,136,62,171,46,85,155,70,170,120,143,189,82,130,3,87,112,49,113,165,55,79,183,185,17,115,141,84,154,58,163,102,169,75,60,144,106,27,156]",繁星点点,space,66.0954,space,2.8127,space,5.6207,space,11.7463,space,37.3135,space,3.2856,space,1.1223,3,16.4457,3,7.2725,1,6.5192,1,6.6152,3,36.7448,0,0,0,0,1,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.5605,space,0.9553,space,0.6581,space,48.0631,space,1.1554,space,0.837,3,1.2267,1,7.8896,3,13.9285,2,5.0979,2,6.3023,1,0,1,0,1,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,space,44.621,"[""LeftButton_2""]",-0.35885165,-0.311466997,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,9dot1.png,小于,大于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""RightButton_2""]",0.288676212,-0.290805817,1,0,0,RightButton_2,0,1,1,1,1,LeftButton_2,11dot2.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,"[""RightButton_2""]",0.311004906,-0.332128265,1,0,0,RightButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,大于,小于,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,0.2,0.285939042,-0.493285092,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.270210662,-0.501549634,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,49,10.5735,space,67,14.6507,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,0.469,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.312991502,-0.49741745,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,2,2,2,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.252595156,-0.513946533,1,0,0,LeftButton,"[""LeftButton""]",68,2.3805,space,,,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,1.0147,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.232463005,-0.485020724,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,59.96758362,3.2732,space,38.63549795,4.4065,0,4,4,4,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.6636,,,,,,,,,,,
