﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,51,60]",space,4.21,space,6.759,friendly,space,3.156,6.0375,1.803,space,0.34,0,0,0,48,1,49,image/49.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,3.96875,2.033,space,0.269,0,1,1,46,1,47,image/47.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.95,2.513,space,0.384,0,2,2,28,1,29,image/29.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.04375,1.911,space,0.42,0,3,3,18,1,19,image/19.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.975,4.052,space,1.775,0,4,4,49,1,50,image/50.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.99375,2.13,space,1.23,0,5,5,10,1,11,image/11.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.975,2.671,space,0.28,0,6,6,3,1,4,image/4.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.99375,2.567,space,0.968,0,7,7,35,1,36,image/36.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,4.975,3.612,space,0.775,0,8,8,20,1,21,image/21.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.95625,2.233,space,1.243,0,9,9,47,1,48,image/48.jpg,0,0,,er3,2,2024-05-31_01h44.59.043,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
