﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,52,53,55]",space,1.5136,space,3.189,trustworthy,space,1.7243,5.643429323,2.1513,space,0.7165,0,0,0,44,1,45,image/45.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.531536733,2.1129,space,0.316,0,1,1,12,1,13,image/13.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.626765402,1.2853,space,0.369,0,2,2,39,1,40,image/40.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.860053426,3.5497,space,0.6568,0,3,3,7,1,8,image/8.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.914209261,1.8404,space,0.7212,0,4,4,48,1,49,image/49.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.077458626,1.9762,space,0.432,0,5,5,18,1,19,image/19.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.998307673,1.904,space,0.7528,0,6,6,45,1,46,image/46.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.485126654,2.3816,space,1.2074,0,7,7,41,1,42,image/42.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.855887827,1.3878,space,0.3348,0,8,8,38,1,39,image/39.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,4.110395156,3.8169,space,2.2391,0,9,9,6,1,7,image/7.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,3.318882954,2.6175,space,0.3419,0,10,10,10,1,11,image/11.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.301828866,2.079,space,0.1404,0,11,11,5,1,6,image/6.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,6.20165312,1.1922,space,0.8303,0,12,12,4,1,5,image/5.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.02746839,1.4985,space,0.242,0,13,13,32,1,33,image/33.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,6.085009489,1.9467,space,0.4607,0,14,14,11,1,12,image/12.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.052463508,1.7425,space,1.145,0,15,15,47,1,48,image/48.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.62338071,2.5813,space,0.2429,0,16,16,13,1,14,image/14.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.673370947,1.4685,space,0.262,0,17,17,23,1,24,image/24.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1,3.3416,space,2.8483,0,18,18,50,1,53,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,4.85191674,3.5463,space,0.2842,0,19,19,37,1,38,image/38.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1.977478154,1.8409,space,0.3848,0,20,20,20,1,21,image/21.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.239341071,4.249,space,1.0748,0,21,21,22,1,23,image/23.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,1,2.3248,space,1.9142,0,22,22,51,1,54,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,5.622599804,4.6618,space,0.2789,0,23,23,27,1,28,image/28.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.644014765,3.062,space,0.2563,0,24,24,40,1,41,image/41.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
,,,,,,,,2.039965949,2.5531,space,0.2163,0,25,25,31,1,32,image/32.jpg,0,0,,sppq,2,2024-05-31_02h20.02.520,face trait task chi,2021.2.3,Win32,165.0165017,,,,,,,
