﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51,52,50]",space,10.2516,space,14.1781,friendly,space,12.3527,5.005555725,4.0253,space,0.6279,0,0,0,17,1,18,image/18.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.922222392,3.0572,space,0.3009,0,1,1,41,1,42,image/42.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.955555725,2.2626,space,0.3296,0,2,2,28,1,29,image/29.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.955555725,2.7138,space,0.4021,0,3,3,31,1,32,image/32.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.966666667,3.4404,space,0.8508,0,4,4,18,1,19,image/19.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.96111145,3.2711,space,1.3682,0,5,5,47,1,48,image/48.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6.955555725,2.1577,space,1.4166,0,6,6,11,1,12,image/12.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.983333333,3.1948,space,0.8612,0,7,7,2,1,3,image/3.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.983333333,3.2376,space,0.6119,0,8,8,10,1,11,image/11.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.061111196,3.5268,space,0.6568,0,9,9,39,1,40,image/40.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4,3.6251,space,1.1069,0,10,10,5,1,6,image/6.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.022222392,3.6538,space,0.7167,0,11,11,6,1,7,image/7.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.022222392,2.2984,space,1.3684,0,12,12,43,1,44,image/44.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.016666667,3.7954,space,0.7373,0,13,13,0,1,1,image/1.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.988889058,3.078,space,1.2839,0,14,14,14,1,15,image/15.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.961111196,2.7218,space,0.9338,0,15,15,21,1,22,image/22.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,6.994444784,2.1254,space,1.3563,0,16,16,34,1,35,image/35.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.005555725,4.2798,space,1.7839,0,17,17,8,1,9,image/9.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.05,2.7779,space,0.735,0,18,18,9,1,10,image/10.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.938889058,4.0061,space,0.6523,0,19,19,38,1,39,image/39.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.927778117,3.8439,space,0.4751,0,20,20,7,1,8,image/8.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.955555725,3.004,space,0.8626,0,21,21,37,1,38,image/38.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.983333333,2.5823,space,0.9525,0,22,22,13,1,14,image/14.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5,4.0719,space,0.6611,0,23,23,32,1,33,image/33.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3,4.4723,space,0.3203,0,24,24,24,1,25,image/25.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4,3.2572,space,0.5047,0,25,25,26,1,27,image/27.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.988889058,2.9382,space,1.7004,0,26,26,35,1,36,image/36.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.994444529,3.3924,space,0.5707,0,27,27,45,1,46,image/46.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.027777863,5.0172,space,1.1313,0,28,28,50,1,52,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.955555725,4.4928,space,0.4083,0,29,29,36,1,37,image/37.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.955555725,2.9299,space,0.5727,0,30,30,25,1,26,image/26.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1,4.7983,space,1.2619,0,31,31,30,1,31,image/31.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1,3.4117,space,1.5672,0,32,32,52,1,51,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.96111145,4.052,space,0.366,0,33,33,19,1,20,image/20.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.994444784,2.6783,space,0.9023,0,34,34,3,1,4,image/4.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.005555725,2.7471,space,0.5739,0,35,35,12,1,13,image/13.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.005555725,1.964,space,1.2821,0,36,36,44,1,45,image/45.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1,2.6247,space,1.6621,0,37,37,51,1,53,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.005555725,3.6045,space,0.3611,0,38,38,23,1,24,image/24.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.977777863,4.3374,space,0.4985,0,39,39,27,1,28,image/28.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.988889058,4.0575,space,0.319,0,40,40,42,1,43,image/43.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.977778117,3.1021,space,0.4511,0,41,41,40,1,41,image/41.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.977777863,2.8868,space,0.4174,0,42,42,20,1,21,image/21.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.966666667,2.6025,space,0.5859,0,43,43,46,1,47,image/47.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.022222392,4.6674,space,0.4513,0,44,44,29,1,30,image/30.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,3.988889058,2.1117,space,1.3265,0,45,45,22,1,23,image/23.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.033333333,3.8854,space,0.5278,0,46,46,1,1,2,image/2.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4,2.705,space,0.4697,0,47,47,49,1,50,image/50.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,2.96111145,2.4556,space,1.0711,0,48,48,33,1,34,image/34.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.95,2.0538,space,0.951,0,49,49,16,1,17,image/17.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.083333333,6.8684,space,0.8406,0,50,50,15,1,16,image/16.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,4.988889058,2.2528,space,1.0167,0,51,51,4,1,5,image/5.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,5.994444784,2.3948,space,0.7019,0,52,52,48,1,49,image/49.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,0,0,0,3,1,3,friendly.png
,,,,,trustworthy,space,10.9889,2.972222392,2.291,space,0.4415,0,0,0,45,1,46,image/46.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
,,,,,,,,1.994444529,2.4453,space,0.572,0,1,1,41,1,42,image/42.jpg,0,0,,一 一,2,2024-05-31_01h08.45.488,face trait task chi,2021.2.3,Win32,59.88023952,,,,,,,
