﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,50,50]",space,4.78429,space,14.434065,trustworthy,space,6.12034,6.1875,4.53183,space,1.040325,0,0,0,2,1,3,image/3.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,3.34375,1.76266,space,0.3579,0,1,1,18,1,19,image/19.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,4.6328125,1.28083,space,0.285565,0,2,2,27,1,28,image/28.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,4.2265625,1.58049,space,0.273995,0,3,3,0,1,1,image/1.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,6.9921875,6.92917,space,1.258265,0,4,4,50,1,56,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,1.03125,4.01519,space,0.95385,0,5,5,51,1,51,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,5.734375,2.079375,space,0.38852,0,6,6,48,1,49,image/49.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,6.265625,1.275395,space,0.221835,0,7,7,3,1,4,image/4.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,5.7734375,0.83048,space,0.22421,0,8,8,47,1,48,image/48.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
,,,,,,,,4.8203125,0.975955,space,0.156315,0,9,9,44,1,45,image/45.jpg,0,0,,守护,2,2024-05-31_01h24.26,face trait task chi,2021.2.3,Win32,50.43627377,,,,,,,
