﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,52,57]",space,3.2292,space,6.8148,critical,space,11.8838,1.914990358,4.8045,space,1.564,0,0,0,2,1,3,image/3.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,3.964590046,3.2571,space,1.5599,0,1,1,1,1,2,image/2.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,5.964199497,2.8821,space,0.7939,0,2,2,32,1,33,image/33.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,4.99355587,5.2877,space,0.2054,0,3,3,37,1,38,image/38.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,4.939399653,3.0754,space,0.6332,0,4,4,38,1,39,image/39.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,3.977087605,3.9357,space,0.2421,0,5,5,19,1,20,image/20.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,3.010609958,3.6084,space,0.2487,0,6,6,43,1,44,image/44.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,2.98561484,2.8088,space,0.5049,0,7,7,5,1,6,image/6.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,2.96478532,2.1681,space,1.3332,0,8,8,22,1,23,image/23.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
,,,,,,,,2.998112399,2.4454,space,0.285,0,9,9,0,1,1,image/1.jpg,0,0,,王子鸣,2,2024-05-31_01h12.35.507,face trait task chi,2021.2.3,Win32,161.2903226,,,,,,,
