﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,53,51]",space,11.9159,space,31.6055,friendly,space,15.4313,5,5.5514,space,2.4045,0,0,0,19,1,20,image/20.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,2.983333588,10.3926,space,3.1007,0,1,1,25,1,26,image/26.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,6,2.2859,space,0.5495,0,2,2,48,1,49,image/49.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,4.972222222,1.7191,space,0.3513,0,3,3,14,1,15,image/15.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,5.005555471,2.0304,space,0.4702,0,4,4,32,1,33,image/33.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,6.988889058,1.9621,space,0.3572,0,5,5,43,1,44,image/44.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,5.005555471,2.2,space,0.4425,0,6,6,26,1,27,image/27.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,6.005555895,2.0382,space,0.2678,0,7,7,30,1,31,image/31.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,4.005555471,2.6367,space,0.1339,0,8,8,17,1,18,image/18.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
,,,,,,,,3.988889058,1.7524,space,0.0331,0,9,9,6,1,7,image/7.jpg,0,0,,用户7465,2,2024-05-31_01h11.59.593,face trait task chi,2021.2.3,Win32,58.9066918,,,,,,,
