﻿choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,key_resp_5.keys,key_resp_5.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,53,57]",space,24.3681,space,1.6448,trustworthy,space,939.3962,3.053275782,3.1245,space,0.3338,0,0,0,44,1,45,image/45.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.966577022,3.1779,space,0.3686,0,1,1,28,1,29,image/29.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.988117079,2.5285,space,0.4008,0,2,2,39,1,40,image/40.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.022042668,7.0758,space,1.2996,0,3,3,51,1,54,image/fill_img.png,1,1,请将滑块完全移动到<左边>，以示您在专心判断。,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.756022184,3.2877,space,1.483,0,4,4,41,1,42,image/42.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.991348003,4.6574,space,0.7166,0,5,5,26,1,27,image/27.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.997540976,4.3665,space,0.1751,0,6,6,47,1,48,image/48.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.985187163,4.3287,space,1.3545,0,7,7,52,1,58,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.0285048,3.9477,space,1.8904,0,8,8,37,1,38,image/38.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.034697513,2.4287,space,0.5336,0,9,9,3,1,4,image/4.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.047083069,4.4435,space,0.2173,0,10,10,13,1,14,image/14.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.022311828,4.2508,space,0.3507,0,11,11,14,1,15,image/15.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.969538615,6.7753,space,0.8229,0,12,12,42,1,43,image/43.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.982462378,2.6352,space,0.2836,0,13,13,49,1,50,image/50.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.050044923,3.8847,space,0.5172,0,14,14,27,1,28,image/28.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.006695348,5.3842,space,1.2331,0,15,15,20,1,21,image/21.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.97303874,3.3425,space,0.3008,0,16,16,34,1,35,image/35.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.978962447,5.5321,space,2.2344,0,17,17,40,1,41,image/41.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.034697513,6.3375,space,0.2019,0,18,18,31,1,32,image/32.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.074815969,2.3209,space,0.4005,0,19,19,32,1,33,image/33.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.978962447,2.6537,space,0.2329,0,20,20,0,1,1,image/1.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.978962447,3.8249,space,1.9992,0,21,21,5,1,6,image/6.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.013426722,3.6855,space,1.6062,0,22,22,35,1,36,image/36.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.050044923,1.6703,space,0.4225,0,23,23,30,1,31,image/31.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.98515516,2.1685,space,0.4841,0,24,24,1,1,2,image/2.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.074815969,3.8011,space,0.3672,0,25,25,24,1,25,image/25.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,3.003733559,5.4413,space,0.4174,0,26,26,8,1,9,image/9.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.944767504,4.3004,space,2.3169,0,27,27,12,1,13,image/13.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.028235453,4.6928,space,0.6533,0,28,28,29,1,30,image/30.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,6.985187163,4.5863,space,2.2288,0,29,29,50,1,58,image/fill_img.png,1,7,请将滑块完全移动到<右边>，以示您在专心判断。,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.978962447,4.2519,space,0.1407,0,30,30,38,1,39,image/39.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.966577022,3.4042,space,0.2251,0,31,31,15,1,16,image/16.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,4.991617139,5.3181,space,0.6337,0,32,32,48,1,49,image/49.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,2.910841826,2.5526,space,0.4525,0,33,33,22,1,23,image/23.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.963345837,3.091,space,0.3838,0,34,34,9,1,10,image/10.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,1.040621021,2.6401,space,0.4829,0,35,35,7,1,8,image/8.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,,,5.994848323,3.4942,space,0.4209,0,36,36,11,1,12,image/12.jpg,0,0,,繁星点点,2,2024-05-31_01h17.54.853,face trait task chi,2021.2.3,Win32,60.24096386,,,,,,,
