participant,slider_guilt_both_incor,slider_guilt_self_incor,slider_guilt_diff,share_slider_both_incor,share_slider_self_incor,share_slider_diff,slider_apology_both_incor,slider_apology_self_incor,slider_apology_diff,slider_hide_both_incor,slider_hide_self_incor,slider_hide_diff,slider_forgiveness_both_incor,slider_forgiveness_self_incor,slider_forgiveness_diff,slider_mad_both_incor,slider_mad_self_incor,slider_mad_diff
er3,35.0,80.0,45.0,1.1537710043333333,0.9232121923333333,-0.23055881200000006,50.666666666666664,67.66666666666667,17.000000000000007,42.333333333333336,46.0,3.6666666666666643,65.86794083666668,65.43374345333332,-0.43419738333335545,26.90859356,37.52669327,10.618099710000003
加多宝,61.333333333333336,53.333333333333336,-8.0,3.665024973,3.2850481546666668,-0.3799768183333332,62.666666666666664,71.33333333333333,8.666666666666664,46.333333333333336,26.333333333333332,-20.000000000000004,71.65882760666666,48.38045057666667,-23.278377029999994,43.79875397333333,58.22870513666667,14.429951163333335
土豆洋芋薯片,62.666666666666664,67.0,4.333333333333336,2.338541825666667,3.006944497333333,0.6684026716666662,63.666666666666664,70.0,6.333333333333336,48.666666666666664,60.666666666666664,12.0,76.93603014666667,60.10101331333333,-16.835016833333334,29.903200259999995,56.48849821333334,26.585297953333342
好运跟着来呗,62.0,90.0,28.0,4.013080817666666,3.05121684,-0.9618639776666664,86.0,80.0,-6.0,82.66666666666667,59.333333333333336,-23.333333333333336,41.59892448666667,27.32104273,-14.27788175666667,54.930203936666665,84.19592218000001,29.265718243333346
守护,78.0,91.66666666666667,13.666666666666671,2.7391410443333335,2.8806734993333336,0.1415324550000001,74.66666666666667,89.33333333333333,14.666666666666657,19.0,14.666666666666666,-4.333333333333334,83.86722274,86.77576151666666,2.90853877666666,10.459401236666666,11.350942316000001,0.8915410793333347
快乐修勾,32.333333333333336,76.66666666666667,44.333333333333336,0.328125,1.3263888886666666,0.9982638886666666,51.666666666666664,67.66666666666667,16.000000000000007,48.333333333333336,45.666666666666664,-2.6666666666666714,54.945286196666665,41.86307519333334,-13.082211003333327,37.23344556666667,70.27216610666666,33.03872053999999
我努力赚钱,37.666666666666664,89.66666666666667,52.00000000000001,2.5515601576666667,2.6841433969999997,0.13258323933333305,49.666666666666664,68.0,18.333333333333336,40.333333333333336,55.333333333333336,15.0,41.89700714,23.01256792,-18.88443922,53.66596426,69.54728843666668,15.881324176666674
挽冬,73.0,90.0,17.0,4.980902830666667,4.967013994999999,-0.013888835666667987,82.66666666666667,96.66666666666667,14.0,42.333333333333336,13.666666666666666,-28.66666666666667,73.14815136,68.06257228666666,-5.085579073333335,49.29854203666667,54.559488003333335,5.260945966666668
爱购i,27.0,48.666666666666664,21.666666666666664,4.444444444333333,4.401041666666667,-0.04340277766666567,88.33333333333333,90.66666666666667,2.333333333333343,8.333333333333334,19.666666666666668,11.333333333333334,83.67003634666666,77.39197745,-6.278058896666664,15.172560528,20.398433549999996,5.2258730219999965
王子鸣,40.0,72.33333333333333,32.33333333333333,0.5639072906666667,0.674541193,0.11063390233333337,51.333333333333336,71.0,19.666666666666664,56.0,48.333333333333336,-7.666666666666664,62.26635794,29.345716333333332,-32.92064160666666,39.33760091,67.15712406666667,27.81952315666667
用户30686,40.666666666666664,78.0,37.333333333333336,4.157986111,3.7899305556666665,-0.3680555553333331,59.333333333333336,91.33333333333333,31.999999999999993,11.666666666666666,6.0,-5.666666666666666,49.508978676666665,47.61503928333334,-1.8939393933333264,43.93237935,41.442199773333336,-2.4901795766666623
用户41526,91.33333333333333,94.33333333333333,3.0,2.548804295,2.6293313813333334,0.08052708633333339,87.33333333333333,89.66666666666667,2.333333333333343,11.0,18.333333333333332,7.333333333333332,91.06462378666667,93.33229809,2.2676743033333224,15.29472371,18.006073423333333,2.711349713333334
山鬼丫,82.33333333333333,89.0,6.666666666666671,4.459690841333333,4.432916943333333,-0.026773898000000074,91.33333333333333,96.0,4.666666666666671,51.0,54.0,3.0,64.49870179,45.056925119999995,-19.441776670000003,58.57902424666667,68.88587445666667,10.30685021
用户7465,69.33333333333333,91.0,21.66666666666667,3.541666799,3.3871528840000003,-0.1545139149999999,55.333333333333336,82.33333333333333,26.999999999999993,40.0,20.666666666666668,-19.333333333333332,69.50056597999999,45.510663783333335,-23.989902196666655,28.289845013333334,64.27469296666668,35.98484795333334
繁星点点,50.666666666666664,47.333333333333336,-3.3333333333333286,4.229514400666667,4.6401572846666665,0.4106428839999996,69.0,58.333333333333336,-10.666666666666664,32.666666666666664,31.0,-1.6666666666666643,52.85689194333333,44.899678703333336,-7.957213239999994,56.66619372,44.13781622,-12.528377500000005
这是一个小天才,33.666666666666664,42.666666666666664,9.0,4.284722540333333,4.144097434333333,-0.1406251059999999,91.0,91.33333333333333,0.3333333333333286,16.333333333333332,17.666666666666668,1.3333333333333357,82.82828229333334,71.39450324,-11.433779053333339,18.53956336,28.886084123333333,10.346520763333334
