participant,competent,critical,friendly,trustworthy
 挽冬,3.790189307489362,4.1870774753478255,3.8437160138032787,4.234903518
er3,3.5145833333333334,3.5,3.345212765957447,3.9141393442622947
sppq,4.027259111782609,3.7088993916666664,3.575663420770492,3.8027294201041664
一 一,4.124444575816667,4.289480055170213,3.666548595,4.082971141652173
加多宝,3.254971647021739,4.662478406382979,2.7957820866557377,2.7862435856086956
土豆洋芋薯片,4.395185411244444,3.9094909403124998,3.927896118148936,4.327685373166667
好运跟着来呗,4.554279651148936,3.5987906937391303,4.813183344163934,4.4889635773260865
守护,4.5765625,4.33203125,4.238960597826087,3.9090169270833335
山鬼丫,4.237877843,4.077123024606557,3.6700989962553194,4.075857770085106
快乐修勾,3.1908983451914894,4.057377049213115,3.563888888913043,3.2818840579782607
我努力赚钱,4.851415955659575,4.141042467347826,4.336191914852459,3.9907111593695648
爱购i,4.759876660955555,5.111342690625,3.732624216191489,3.904444521483333
王子鸣,3.7373700951739126,3.9042296407021277,3.6781566399999996,3.562338225118644
用户30686,4.946739130347826,4.703981481433333,4.165839243553191,4.851182033170213
用户41526,4.947873975409836,4.558084239130435,4.113198138297872,4.62109375
用户7465,4.647826226956522,3.975768393574468,4.193599138782608,4.262037121733333
笙笙,3.1595108695652177,3.534875,3.0691847826086955,2.9780434782608696
繁星点点,2.9563479716166667,3.5169797789787234,3.07781097823913,3.039045612170213
这是一个小天才,4.342803160386364,4.587847312270833,3.5905438325744683,3.9370674765737705
