Gender,Gender_5_TEXT,Q6,Q7,Q7_2_TEXT,Q9,naodao_id
您的性别认同是？ - Selected Choice,您的性别认同是？ - 其他（请具体说明） - Text,您的年龄（年）？：,您的民族？ - Selected Choice,您的民族？ - 少数民族（请注明） - Text,您的最高学历是什么？,naodao_id
"{""ImportId"":""QID3""}","{""ImportId"":""QID3_5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_2_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""naodao_id""}"
女性,,,,,,preview
,,,,,,842721462082215938
,,,,,,842721462082215938
,,,,,,842721462082215938
,,,,,,842780936444841985
,,,,,,842782380665217026
,,,,,,843115515378667521
男性,,20,汉族,,高中或中专,844204416826482689
,,,,,,844391967898083329
男性,,20,汉族,,高中或中专,844797616964505602
非二元性别,,21,少数民族（请注明）,朝鲜族,高中或中专,845289588909023234
男性,,1995,汉族,,大专或大学肄业,848724788678631426
男性,,22,汉族,,大学（学士学位）,848724887395897345
男性,,1995,汉族,,研究生或博士学位（如硕士、博士、医学博士）,848725449428439041
女性,,22,汉族,,大学（学士学位）,848725570488508417
女性,,22,汉族,,大学（学士学位）,848725787036229633
男性,,22,汉族,,大专或大学肄业,848725816732028930
男性,,21,汉族,,大学（学士学位）,848725119697297410
女性,,22,汉族,,大学（学士学位）,848725136818573314
女性,,22,汉族,,大学（学士学位）,848725899217211394
男性,,22,汉族,,大专或大学肄业,848725856342908930
男性,,31,汉族,,大学（学士学位）,848725598238023682
女性,,21,汉族,,大学（学士学位）,848725030262280194
男性,,28,汉族,,大学（学士学位）,848725793700978690
男性,,21,汉族,,大学（学士学位）,848725339197808641
女性,,24,汉族,,大学（学士学位）,848725277101264898
男性,,23,汉族,,大学（学士学位）,848725714357329922
女性,,21,汉族,,大学（学士学位）,848725658434674689
男性,,21,汉族,,大学（学士学位）,848735087016157186
女性,,21,汉族,,大学（学士学位）,848743280937275393
女性,,22,汉族,,大学（学士学位）,848725925486010369
女性,,22,汉族,,大学（学士学位）,848775654567714817
女性,,21,汉族,,大学（学士学位）,848906503175016449
女性,,22,汉族,,大学（学士学位）,848906521894195201
男性,,22,汉族,,大学（学士学位）,849092383235776514
