choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,53,55,53]",space,4.966,space,9.3593,trustworthy,7,12.9048,space,5.3689,0,0,0,51,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,3.983333588,4.8305,space,0.8558,0,1,1,6,1,7,image/7.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,3.983333588,1.2226,space,0.3724,0,2,2,7,1,8,image/8.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,4.305555556,2.3698,space,3.5019,0,3,3,28,1,29,image/29.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,3.988889058,1.9784,space,0.459,0,4,4,35,1,36,image/36.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,4.383333418,2.67,space,2.3179,0,5,5,18,1,19,image/19.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,4.39444436,5.8883,space,3.552,0,6,6,4,1,5,image/5.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,4.011111365,3.8356,space,1.408,0,7,7,36,1,37,image/37.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,3.466666751,4.645,space,2.3781,0,8,8,49,1,50,image/50.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
,,,,,,4.272222307,3.5543,space,0.6228,0,9,9,16,1,17,image/17.jpg,0,0,,R_1WtVKNu6flh5Sp7,2,2024-04-29_17h12.29.858,face trait task,2021.2.3,Win32,59.52380952,SONAid,,,,,,,
