choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,52,54]",space,8.8052,space,156.0363,trustworthy,6.001023472,9.7719,space,1.0403,0,0,0,35,1,36,image/36.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,6.00262691,4.7095,space,0.8037,0,1,1,1,1,2,image/2.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,2.996588428,5.5599,space,0.5358,0,2,2,16,1,17,image/17.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.992358079,3.9014,space,2.6865,0,3,3,21,1,22,image/22.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.018286026,5.6432,space,3.0683,0,4,4,11,1,12,image/12.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,5.007880731,3.9296,space,1.4817,0,5,5,27,1,28,image/28.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,3.95902702,2.4288,space,0.4483,0,6,6,42,1,43,image/43.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,5.952272107,2.9641,space,0.3517,0,7,7,28,1,29,image/29.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.021697598,4.9845,space,0.3821,0,8,8,48,1,49,image/49.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,6.978507096,5.0857,space,1.185,0,9,9,50,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,1.000272926,8.3686,space,0.5821,0,10,10,51,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.020094159,6.8265,space,0.489,0,11,11,24,1,25,image/25.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,6.001535207,5.228,space,0.3612,0,12,12,26,1,27,image/27.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,6.009927675,2.3646,space,0.2621,0,13,13,4,1,5,image/5.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,3.009108897,6.343,space,0.6841,0,14,14,44,1,45,image/45.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.972400382,5.466,space,0.4341,0,15,15,18,1,19,image/19.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,3.967658297,7.9626,space,0.2677,0,16,16,23,1,24,image/24.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.972400382,4.5091,space,0.3557,0,17,17,19,1,20,image/20.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,1.00262691,2.1645,space,0.2737,0,18,18,52,1,55,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.944152566,12.7315,space,0.6192,0,19,19,33,1,34,image/34.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,3.979905841,2.1289,space,0.4014,0,20,20,10,1,11,image/11.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,4.972366266,2.9094,space,0.2398,0,21,21,3,1,4,image/4.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,2.028281932,3.1435,space,0.3888,0,22,22,8,1,9,image/9.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,2.971990993,4.3497,space,0.1701,0,23,23,6,1,7,image/7.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,3.98580786,5.0163,space,0.5735,0,24,24,14,1,15,image/15.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
,,,,,,1.020571779,6.1935,space,1.4499,0,25,25,22,1,23,image/23.jpg,0,0,,R_3NHYjetBGepYbrK,2,2024-05-03_18h26.49.963,face trait task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,
