choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,53,53]",space,9.1043,space,29.3102,friendly,4.716666667,8.2947,space,0.7389,0,0,0,17,1,18,image/18.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,5,10.2823,space,0.9785,0,1,1,38,1,39,image/39.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,3.21111145,5.6299,space,2.7135,0,2,2,26,1,27,image/27.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,4.833333333,7.6021,space,0.6082,0,3,3,16,1,17,image/17.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,2.65,6.2731,space,1.1646,0,4,4,13,1,14,image/14.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,5.177778117,5.2959,space,2.3546,0,5,5,2,1,3,image/3.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,4.75,3.631,space,2.069,0,6,6,14,1,15,image/15.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,5,2.4045,space,0.7191,0,7,7,40,1,41,image/41.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,3.51111145,5.0648,space,0.5691,0,8,8,37,1,38,image/38.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,4.994444784,5.1958,space,0.2952,0,9,9,36,1,37,image/37.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,6.994444784,3.8471,space,0.3684,0,10,10,50,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,3.466666667,31.6365,space,0.1972,0,11,11,19,1,20,image/20.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,2.255555725,6.2585,space,0.5287,0,12,12,10,1,11,image/11.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,4.783333333,6.7816,space,3.6676,0,13,13,48,1,49,image/49.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
,,,,,,4.51111145,3.8466,space,0.4382,0,14,14,1,1,2,image/2.jpg,0,0,,R_3WksQ064xj6JYYN,2,2024-05-05_13h48.14.470,face trait task,2021.2.3,Win32,59.88023952,120834,,,,,,,
