choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,60,57]",space,6.001,space,5.462,critical,5.52,7.909,space,0.981,0,0,0,27,1,28,image/28.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4,3.188,space,2.018,0,1,1,42,1,43,image/43.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.28,2.586,space,0.568,0,2,2,15,1,16,image/16.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,2.8,2.486,space,0.437,0,3,3,7,1,8,image/8.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,2.02,6.072,space,0.401,0,4,4,20,1,21,image/21.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.206666667,2.244,space,0.4,0,5,5,10,1,11,image/11.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,5.06,2.653,space,0.266,0,6,6,34,1,35,image/35.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.686666667,2.471,space,0.404,0,7,7,8,1,9,image/9.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.186666667,3.575,space,0.37,0,8,8,22,1,23,image/23.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.593333333,2.009,space,0.853,0,9,9,47,1,48,image/48.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,5.113333333,6.911,space,0.937,0,10,10,21,1,22,image/22.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.42,3.025,space,0.334,0,11,11,44,1,45,image/45.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.426666667,1.538,space,0.367,0,12,12,43,1,44,image/44.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.98,11.932,space,3.802,0,13,13,52,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,2.953333333,3.485,space,0.441,0,14,14,14,1,15,image/15.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,2.16,2.474,space,0.436,0,15,15,41,1,42,image/42.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.173333333,4.469,space,0.35,0,16,16,4,1,5,image/5.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.42,5.488,space,2.624,0,17,17,19,1,20,image/20.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.486666667,2.018,space,0.316,0,18,18,18,1,19,image/19.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.94,2.678,space,0.485,0,19,19,30,1,31,image/31.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.08,3.591,space,0.434,0,20,20,16,1,17,image/17.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.98,1.577,space,0.367,0,21,21,3,1,4,image/4.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.966666667,3.269,space,0.52,0,22,22,28,1,29,image/29.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.98,2.554,space,0.434,0,23,23,29,1,30,image/30.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,6.98,3.434,space,0.655,0,24,24,51,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,5.126666667,6.418,space,0.617,0,25,25,2,1,3,image/3.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.1,2.326,space,0.417,0,26,26,38,1,39,image/39.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,4.706666667,2.958,space,0.393,0,27,27,25,1,26,image/26.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
,,,,,,3.466666667,2.701,space,0.29,0,28,28,35,1,36,image/36.jpg,0,0,,R_3YovKuFHnYI49gt,2,2024-05-01_13h15.32.585,face trait task,2021.2.3,MacIntel,62.5,120331,,,,,,,
