choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,55,57]",space,16.161,space,52.795,friendly,3.006666667,7.079,space,1.045,0,0,0,30,1,31,image/31.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5.98,7.303,space,0.385,0,1,1,20,1,21,image/21.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,3.986666667,3.286,space,1.971,0,2,2,35,1,36,image/36.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.993333333,3.819,space,1.287,0,3,3,6,1,7,image/7.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,3.986666667,3.02,space,2.457,0,4,4,32,1,33,image/33.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5,3.47,space,2.337,0,5,5,14,1,15,image/15.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5,1.869,space,3.789,0,6,6,36,1,37,image/37.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,1.986666667,5.287,space,0.867,0,7,7,39,1,40,image/40.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5.973333333,5.32,space,0.621,0,8,8,17,1,18,image/18.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5,3.838,space,0.792,0,9,9,41,1,42,image/42.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.986666667,4.138,space,1.104,0,10,10,27,1,28,image/28.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.966666667,6.787,space,0.408,0,11,11,21,1,22,image/22.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.986666667,3.819,space,1.025,0,12,12,18,1,19,image/19.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,5.006666667,3.052,space,0.967,0,13,13,2,1,3,image/3.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.966666667,5.32,space,0.67,0,14,14,25,1,26,image/26.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.953333333,4.27,space,0.851,0,15,15,8,1,9,image/9.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,7,14.437,space,7.487,0,16,16,52,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.993333333,6.354,space,1.421,0,17,17,0,1,1,image/1.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.973333333,3.303,space,1.037,0,18,18,13,1,14,image/14.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,1.973333333,3.436,space,1.876,0,19,19,29,1,30,image/30.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,4.986666667,4.286,space,0.98,0,20,20,31,1,32,image/32.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,3,3.853,space,1.492,0,21,21,16,1,17,image/17.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,6.006666667,3.803,space,0.889,0,22,22,12,1,13,image/13.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,7,6.438,space,4.001,0,23,23,50,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,3.993333333,6.002,space,0.668,0,24,24,9,1,10,image/10.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,3.993333333,4.871,space,0.994,0,25,25,19,1,20,image/20.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,4.993333333,4.783,space,2.92,0,26,26,40,1,41,image/41.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
,,,,,,2.986666667,2.87,space,1.371,0,27,27,37,1,38,image/38.jpg,0,0,,R_5EccKcotuRFOO33,2,2024-05-01_17h17.33.315,face trait task,2021.2.3,MacIntel,58.82352941,120209,,,,,,,
