choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,57,57,51]",space,1.1921,space,0.7853,competent,3.984399802,5.3178,space,13.2945,0,0,0,21,1,22,image/22.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.009548611,3.5044,space,1.0168,0,1,1,16,1,17,image/17.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,2.930109127,3.7033,space,0.5871,0,2,2,35,1,36,image/36.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.604365079,3.6981,space,2.0849,0,3,3,18,1,19,image/19.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,1.984474206,4.1355,space,0.3323,0,4,4,6,1,7,image/7.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,2.219518849,1.6733,space,0.4314,0,5,5,24,1,25,image/25.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,2.8578125,4.0309,space,2.1047,0,6,6,10,1,11,image/11.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,2.844816468,3.2072,space,1.0776,0,7,7,0,1,1,image/1.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,5.038988095,1.4833,space,0.2853,0,8,8,20,1,21,image/21.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,5.046999008,1.2518,space,0.2114,0,9,9,31,1,32,image/32.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.267534722,1.4087,space,0.9058,0,10,10,43,1,44,image/44.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.781274802,1.3902,space,0.1832,0,11,11,28,1,29,image/29.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,1.906274802,3.581,space,0.2884,0,12,12,46,1,47,image/47.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,1.906274802,1.2072,space,0.5187,0,13,13,42,1,43,image/43.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,6.002232143,1.658,space,0.2259,0,14,14,11,1,12,image/12.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.958060516,2.4002,space,0.3091,0,15,15,44,1,45,image/45.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.130580357,3.0008,space,0.2712,0,16,16,15,1,16,image/16.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,2.6046875,1.3327,space,0.1884,0,17,17,39,1,40,image/40.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.246304563,3.4167,space,0.6533,0,18,18,5,1,6,image/6.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.678968254,6.4425,space,2.3571,0,19,19,26,1,27,image/27.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.542559524,1.5467,space,0.8543,0,20,20,12,1,13,image/13.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.013417659,1.3262,space,0.2354,0,21,21,25,1,26,image/26.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.339508929,1.5925,space,1.0789,0,22,22,34,1,35,image/35.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.276686508,5.4339,space,4.2397,0,23,23,40,1,41,image/41.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,6.999231151,4.2093,space,0.3551,0,24,24,51,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,6.094122024,4.176,space,2.8059,0,25,25,4,1,5,image/5.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,5.008506944,1.7592,space,0.8109,0,26,26,33,1,34,image/34.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.860813492,1.5525,space,0.5356,0,27,27,22,1,23,image/23.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,3.536111111,5.4167,space,0.2719,0,28,28,19,1,20,image/20.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.937872024,2.1668,space,0.4568,0,29,29,48,1,49,image/49.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.005034722,2.4753,space,0.2568,0,30,30,23,1,24,image/24.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,4.535342262,1.6761,space,0.4085,0,31,31,29,1,30,image/30.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
,,,,,,6.008655754,7.4911,space,0.4044,0,32,32,7,1,8,image/8.jpg,0,0,,R_71Et5V1BaqiJuoR,2,2024-05-01_16h58.12.595,face trait task,2021.2.3,MacIntel,59.88023952,120783
