choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,57]",space,12.7404,space,40.1024,friendly,3.023624321,8.9194,space,3.8309,0,0,0,0,1,1,image/1.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,4.979712976,13.9283,space,6.4344,0,1,1,40,1,41,image/41.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,2.022817595,6.2363,space,1.1096,0,2,2,14,1,15,image/15.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,6.98919837,5.228,space,1.1426,0,3,3,52,1,58,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,1.007744565,4.2674,space,0.5508,0,4,4,28,1,29,image/29.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,2.012296196,4.9565,space,1.0565,0,5,5,29,1,30,image/30.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,2.99779212,3.7399,space,0.9239,0,6,6,1,1,2,image/2.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,6.99908288,6.8207,space,2.4228,0,7,7,2,1,3,image/3.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,3.490692935,3.5737,space,1.9777,0,8,8,30,1,31,image/31.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,2.444412364,3.7802,space,1.043,0,9,9,27,1,28,image/28.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,5.002258832,3.2471,space,1.3331,0,10,10,13,1,14,image/14.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,1.000407609,2.7605,space,0.5675,0,11,11,51,1,53,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,6.008186141,5.2137,space,0.6381,0,12,12,43,1,44,image/44.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,3.003575068,3.0025,space,0.9667,0,13,13,41,1,42,image/42.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,3.998675272,3.0511,space,1.5967,0,14,14,47,1,48,image/48.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,1.020533288,3.6063,space,0.8386,0,15,15,50,1,51,image/fill_img.png,1,1,Please move the slider all the way to the LEFT to show that you are paying attention.,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,3.41452106,6.2929,space,0.9176,0,16,16,32,1,33,image/33.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,5.273547894,4.2466,space,2.0894,0,17,17,42,1,43,image/43.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
,,,,,,2.567535666,5.3215,space,2.6317,0,18,18,16,1,17,image/17.jpg,0,0,,R_8cvY6RMpIIbMEo3,2,2024-05-10_15h11.27.774,face trait task,2021.2.3,MacIntel,61.34969325,120435,,,,,,,
