chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt
"[186,6,23,202,139,97,86,26,66,65,135,122,105,84,78,149,101,180,80,115,176,109,127,40,118,189,130,62,159,153,81,167,55,146,85,195,179,56,143,173,160,48]",R_1Et4aI0weGQGovt,space,1.1359,space,238.2207,space,10.8487,space,79.5529,space,36.5969,space,17.8931,space,5.3483,1,7.002,3,10.519,3,6.8362,1,4.9419,3,4.3744,0,0,0,0,1,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.3178,space,9.8258,space,4.2144,space,38.6757,space,3.9617,space,1.5968,3,3.6488,1,4.8759,3,4.1918,2,4.1604,2,3.9029,1,0,1,0,1,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,space,2.1375,"[""RightButton_2""]",0.311509487,-0.34718415,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,"[""LeftButton_2""]",-0.259491257,-0.324294895,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,"[""RightButton_2""]",0.215908668,-0.320251584,1,0,0,RightButton_2,0,2,2,2,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.290713356,-0.516744335,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.20902853,15.1434,space,1.0058,49.64394691,20.5435,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255705915,-0.485882675,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.299874442,-0.543509381,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.23296596,-0.529795626,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1Et4aI0weGQGovt,1,2024-05-02_17h23.39.576,interaction task,2021.2.3,MacIntel,59.88023952,120280,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260365513,-0.526947795,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,100,2.7643,space,0.9918,0.149748978,7.6094,0,4,4,4,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,
