chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt
"[188,135,192,136,129,146,0,87,13,82,46,133,60,107,83,160,170,101,92,171,150,85,166,69,130,106,59,66,162,75,181,125,49,116,50,109,201,26,183,114,155,174]",R_1QYUgALf2MKc3vp,space,1.6832,space,2.7272,space,16.5541,space,13.9321,space,25.5344,space,0.1973,space,4.424,3,7.7254,1,6.5025,3,3.811,2,3.4753,2,5.5044,0,0,0,0,1,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,space,2.7124,"[""LeftButton_2""]",-0.264583333,-0.301851852,1,0,0,LeftButton_2,0,0,0,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,"[""LeftButton_2""]",-0.255208333,-0.296296296,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,"[""LeftButton_2""]",-0.254166667,-0.294444444,1,0,0,LeftButton_2,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.286458333,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,64.94107744,15.6426,space,2.2653,55.57659933,19.9586,0,0,0,0,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284375,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,2.8825,space,1.0677,0,4.9519,0,1,1,1,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255208333,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255208333,-0.509259259,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,85.35353535,3.3546,space,1.7352,20.43350168,5.9882,0,3,3,3,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25,-0.542592593,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,7.4841,space,48,10.2255,,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,1.0032,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1QYUgALf2MKc3vp,1,2024-05-09_12h17.42.175,interaction task,2021.2.3,Win32,59.88023952,120802,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269791667,-0.533333333,1,0,0,RightButton,"[""RightButton""]",85,3.0472,space,,,,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,1.1228,
