chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,key_forgiveness.rt
"[16,130,124,40,113,68,25,51,7,187,129,75,50,62,86,118,55,172,167,79,180,158,140,89,105,190,135,179,147,84,60,96,194,111,154,83,201,177,163,136,155,99]",R_31BwcmFMmY8Wg3q,space,2.817,space,4.774,space,23.275,space,21.156,space,44.806,space,18.34,space,7.603,3,7.292,1,9.018,3,6.917,2,8.401,2,4.285,0,0,0,0,1,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,space,3.331,"[""RightButton_2""]",0.280555556,-0.284444444,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,"[""LeftButton_2""]",-0.316666667,-0.317777778,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,"[""LeftButton_2""]",-0.330555556,-0.322222222,1,0,0,LeftButton_2,0,2,2,1,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.298611111,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.338888889,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,13.047,space,0,16.549,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,1.534,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.341666667,-0.482222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.172,space,0,3.949,,,,,,0,2,2,2,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,2.1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.348611111,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,3,RandomDot36.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277777778,-0.475555556,1,0,0,RightButton,"[""RightButton""]",,,,4.993055556,20.249,space,,,,,,,,,,,0,4,4,4,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.942,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.348611111,-0.482222222,1,0,0,RightButton,"[""RightButton""]",,,,4.972222222,2.852,space,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,1.033,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.244444444,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.348611111,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",0,2.688,space,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,,1.033,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,0.243055556,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,8,8,8,1,0,both_right.png,0,RandomDot27.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.304166667,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.80359147,3.182,space,0.056116723,5.349,0,9,9,9,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,,0.603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254166667,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.45,space,0,3.814,,,,,,0,10,10,10,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,0.367,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.361111111,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,1.653,space,0,2.882,,,,,,0,11,11,11,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.668,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302777778,-0.504444444,1,0,0,RightButton,"[""RightButton""]",0,1.854,space,,,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.967,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31BwcmFMmY8Wg3q,1,2024-05-03_17h33.09.978,interaction task,2021.2.3,MacIntel,30.3030303,120315,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.248611111,-0.542222222,1,0,0,LeftButton,"[""LeftButton""]",,,,4.993055556,4.314,space,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,1.28,,
