chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[154,83,170,187,74,179,41,141,105,58,132,31,113,149,196,90,55,140,121,103,77,89,21,60,127,56,131,68,158,174,108,11,198,66,88,162,180,185,146,111,161,96]",R_3WksQ064xj6JYYN,space,1.0897,space,5.0774,space,16.6916,space,26.9004,space,36.2252,space,11.5973,space,5.4338,3,5.8423,1,6.3039,3,6.6742,2,6.9037,2,2.3834,0,0,0,0,1,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,space,3.9638,"[""RightButton_2""]",0.3,-0.338888889,1,0,0,RightButton_2,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,"[""RightButton_2""]",0.334375,-0.294444444,1,0,0,RightButton_2,0,1,1,0,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,"[""RightButton_2""]",0.302083397,-0.322222222,1,0,0,RightButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,0,-0.275,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",40,6.5775,space,1.0177,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.327083302,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,70,7.6183,space,20,11.1209,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.8697,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313541651,-0.483333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,88,6.4538,space,21,9.3588,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,0.384,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266666651,-0.501851908,0,0,0,,[],,,,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,187,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Greater,Smaller,,0.214583397,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,61,12.4244,space,13,15.9235,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,8.4937,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3WksQ064xj6JYYN,1,2024-05-05_13h31.13.231,interaction task,2021.2.3,Win32,59.88023952,120834,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271875,-0.496296353,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,93,3.1372,space,34,7.2587,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,2.6254,,,,,,,,
