chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[199,196,187,12,181,48,121,179,105,58,191,138,150,116,172,167,178,166,68,130,92,117,84,104,120,40,163,33,62,149,151,135,112,6,76,98,136,69,53,81,83,94]",R_3YovKuFHnYI49gt,space,1.814,space,3.542,space,10.533,space,24.878,space,25.732,space,12.189,space,9.148,2,13.208,1,7.584,3,13.596,2,9.523,1,12.676,0,0,0,0,1,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.164,space,0.479,space,0.352,space,0.63,space,0.706,space,0.857,3,1.96,1,2.894,3,2.913,1,3.725,3,1.884,1,0,1,0,1,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.714,space,0.55,space,0.393,space,0.516,space,1.051,space,0.644,3,5.134,1,1.852,3,1.917,2,6.884,1,1.849,2,0,2,0,1,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.76,space,0.319,space,0.303,space,0.247,space,5.083,space,0.468,3,21.82,1,2.875,3,2.628,2,3.267,2,0.916,3,0,3,0,1,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,space,1.344,"[""RightButton_2""]",0.245833333,-0.333333333,1,0,0,RightButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,"[""LeftButton_2""]",-0.266666667,-0.328888889,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,"[""RightButton_2""]",0.2625,-0.326666667,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.230555556,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166667,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,1,1,1,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3YovKuFHnYI49gt,1,2024-05-01_12h56.27.083,interaction task,2021.2.3,MacIntel,58.82352941,120331,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275,-0.477777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.10213244,8.539,space,9.87654321,13.047,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,1.218,,,,,,,,,
