chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[124,13,181,155,25,77,58,135,188,6,168,172,68,165,94,157,128,60,203,74,179,136,114,145,140,113,83,40,187,150,97,110,131,90,49,159,59,100,63,103,84,197]",R_3bNMAkMCLdBCePj,space,2.2562,space,3.8011,space,11.9565,space,2.0372,space,7.17,space,9.8288,space,5.7816,3,5.3066,3,7.3612,2,7.1288,2,2358.1418,3,10.3332,0,0,0,0,1,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.6996,space,18.1452,space,28.9658,space,42.7532,space,13.816,space,2.1979,3,2.3793,1,5.0126,3,4.3458,2,6.2768,2,5.0816,1,0,1,0,1,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,space,5.017,"[""RightButton_2""]",0.280187075,-0.331045362,1,0,0,RightButton_2,0,0,0,0,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,"[""RightButton_2""]",0.280187075,-0.331045362,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,"[""RightButton_2""]",0.291124575,-0.334402711,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,0.283843537,-0.497655184,1,0,0,RightButton,"[""RightButton""]",,,,,,,9,10.2659,space,3.7068,0,17.2163,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299346301,-0.491537347,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299346301,-0.488691593,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,45.53625112,20.9502,space,24.66533962,23.4002,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,3.5817,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268319515,-0.464710522,1,0,0,LeftButton,"[""LeftButton""]",70,5.2447,space,,,,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,1.4507,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3bNMAkMCLdBCePj,1,2024-05-01_15h57.58.566,interaction task,2021.2.3,MacIntel,59.88023952,120240,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.346859056,-0.479280355,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,,,,,,,
