chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
"[93,159,197,202,164,174,171,185,186,83,162,178,187,90,49,145,78,8,147,113,89,53,22,48,96,109,142,27,72,65,123,43,151,143,64,60,122,110,101,139,103,121]",R_5EccKcotuRFOO33,space,2.582,space,7.376,space,31.673,space,53.493,space,53.075,space,16.626,space,7.908,3,10.564,1,10.572,3,9.898,1,13.52,3,7.887,0,0,0,0,1,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.734,space,17.522,space,35.177,space,55.332,space,17.78,space,14.351,3,2.921,1,7.153,3,7.745,2,7.98,2,11.527,1,0,1,0,1,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,space,4.155,"[""RightButton_2""]",0.377777778,-0.302222222,1,0,0,RightButton_2,0,0,0,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,"[""RightButton_2""]",0.213888889,-0.335555556,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,"[""LeftButton_2""]",-0.238888889,-0.3,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,-0.343055556,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,30.07856341,15.371,space,3.058,30.78002245,9.789,0,0,0,0,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269444444,-0.506666667,1,0,0,RightButton,"[""RightButton""]",,,,2,13.069,space,,,,,,,,,,,,0,1,1,1,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.654,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,0.331944444,-0.524444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.323611111,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.211111111,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",,,,1.979166667,2.015,space,,,,,,,,,,,,0,4,4,4,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,1.644,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277777778,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,49,7.066,space,51,8.498,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,1.422,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5EccKcotuRFOO33,1,2024-05-01_16h57.34.722,interaction task,2021.2.3,MacIntel,55.55555556,120209,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.245833333,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,60,5.048,space,21,9.865,,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,1.355,
