chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_guilt.rt
"[128,140,163,104,185,171,106,55,188,110,151,19,41,64,172,56,159,113,2,184,82,80,203,91,150,174,86,162,66,146,196,87,109,67,125,133,107,126,134,52,24,79]",R_701Ahvlhq3udAHc,space,1.7523,space,9.6194,space,33.4493,space,40.3241,space,47.2053,space,29.5711,space,6.752,3,9.6378,1,12.8069,3,13.2217,1,12.2067,3,3.3686,0,0,0,0,1,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.4009,space,2.8046,space,4.7638,space,63.2501,space,1.1371,space,0.8511,3,3.2005,1,1.8342,3,2.1503,2,2.0819,2,5.4303,1,0,1,0,1,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,space,5.7555,"[""RightButton_2""]",0.285416698,-0.288888889,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,"[""LeftButton_2""]",-0.267708302,-0.311111111,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,"[""LeftButton_2""]",-0.273958302,-0.275925954,1,0,0,LeftButton_2,0,2,2,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.25625,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,14.7329,space,1.1244,0,24.0179,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301041651,-0.531481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,7.7941,space,0.336701942,12.366,0,1,1,1,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,0.618,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272916651,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,3.046875,11.2068,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,0.9471,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.204166651,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",0,2.3035,space,,,,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,0.5907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2875,-0.494444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.00842393,5.5139,space,29.69276255,7.8375,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,0.2686,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280208397,-0.540740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,3.0762,space,0.3386,30,10.0099,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.254166651,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",0,2.3283,space,,,,,,,,,,,,,,,0,6,6,6,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,0.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,0.344791698,-0.527777778,1,0,0,RightButton,"[""RightButton""]",0,2.3287,space,,,,,,,,,,,,,,,0,7,7,7,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,0.2363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275,-0.492592706,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,30.00842393,5.8296,space,70.62289883,7.9543,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,0.2762,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295833397,-0.501851908,1,0,0,RightButton,"[""RightButton""]",,,,2.458333492,7.5421,space,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.6804,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282291651,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",79,3.9824,space,,,,,,,,,,,,,,,0,10,10,10,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,0.2847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289583302,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,11,11,11,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.309375,-0.461111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,12,12,12,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25625,-0.518518575,1,0,0,RightButton,"[""RightButton""]",,,,2.453125,6.4058,space,,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,0.3312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_701Ahvlhq3udAHc,1,2024-05-08_18h58.21.699,interaction task,2021.2.3,Win32,60.24096386,120545,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25625,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,100,3.8582,space,0.355,9,6.5878,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,,,
