prac_answer,prac_dot_sti,dotlefttext,dotrighttext,type_trial,stipic,DV,picture,answer,number,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,chooserow,ParID,welcome.started,welcome.stopped,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_2.started,pre_instru_resp_2.stopped,press_space.started,press_space.stopped,ins1.started,ins1.stopped,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_3.started,pre_instru_resp_3.stopped,press_space1.started,press_space1.stopped,ins1_4.started,ins1_4.stopped,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_9.started,pre_instru_resp_9.stopped,press_space1_4.started,press_space1_4.stopped,ins1_3.started,ins1_3.stopped,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_8.started,pre_instru_resp_8.stopped,press_space1_3.started,press_space1_3.stopped,ins2.started,ins2.stopped,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_4.started,pre_instru_resp_4.stopped,press_space2.started,press_space2.stopped,Rule.started,Rule.stopped,text_18.started,text_18.stopped,aver_image.started,aver_image.stopped,ins3.started,ins3.stopped,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_5.started,pre_instru_resp_5.stopped,ins3_2.started,ins3_2.stopped,pre_instru_resp_6.keys,pre_instru_resp_6.rt,pre_instru_resp_6.started,pre_instru_resp_6.stopped,check1.started,check1.stopped,a1.started,a1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,check2.started,check2.stopped,b1.started,b1.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,check3.started,check3.stopped,c1.started,c1.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,check4.started,check4.stopped,d1.started,d1.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,check5.started,check5.stopped,e1.started,e1.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,text_15.started,text_15.stopped,text.started,text.stopped,pre_instru_resp.keys,pre_instru_resp.rt,pre_instru_resp.started,pre_instru_resp.stopped,start_prac_text.started,start_prac_text.stopped,image.started,image.stopped,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,judge_2.started,judge_2.stopped,prac_acc,text_10.started,text_10.stopped,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,judge.started,judge.stopped,clicked_guilt,text_16.started,text_16.stopped,text_14.started,text_14.stopped,text_12.started,text_12.stopped,PunishImg.started,PunishImg.stopped,slider_guilt.response,slider_guilt.rt,slider_guilt.started,slider_guilt.stopped,text_8.started,text_8.stopped,key_guilt.keys,key_guilt.started,key_guilt.stopped,text_9.started,text_9.stopped,text_17.started,text_17.stopped,pairing_sub_cur_trial.started,pairing_sub_cur_trial.stopped,result_cur_trial.started,result_cur_trial.stopped,time_reminder.started,time_reminder.stopped,share_slider.response,share_slider.rt,share_slider.started,share_slider.stopped,share_text.started,share_text.stopped,key_share.keys,key_share.rt,key_share.started,key_share.stopped,text_29.started,text_29.stopped,pairing_sub_cur_trial_2.started,pairing_sub_cur_trial_2.stopped,result_cur_trial_2.started,result_cur_trial_2.stopped,time_reminder2.started,time_reminder2.stopped,slider_apology.response,slider_apology.rt,slider_apology.started,slider_apology.stopped,text_apology.started,text_apology.stopped,key_apology.keys,key_apology.started,key_apology.stopped,slider_hide.response,slider_hide.rt,slider_hide.started,slider_hide.stopped,text_hide.started,text_hide.stopped,text_31.started,text_31.stopped,pairing_sub_cur_trial_3.started,pairing_sub_cur_trial_3.stopped,result_cur_trial_3.started,result_cur_trial_3.stopped,time_reminder3.started,time_reminder3.stopped,slider_forgiveness.response,slider_forgiveness.rt,slider_forgiveness.started,slider_forgiveness.stopped,text_forgiveness.started,text_forgiveness.stopped,key_forgiveness.keys,key_forgiveness.started,key_forgiveness.stopped,slider_mad.response,slider_mad.rt,slider_mad.started,slider_mad.stopped,text_mad.started,text_mad.stopped,text_19.started,text_19.stopped,pairing_sub_cur_trial_4.started,pairing_sub_cur_trial_4.stopped,result_cur_trial_4.started,result_cur_trial_4.stopped,time_reminder4.started,time_reminder4.stopped,key_apology.rt,key_forgiveness.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,"[109, 63, 124, 166, 33, 14, 60, 154, 100, 38, 62, 174, 93, 186, 151, 138, 116, 86, 55, 196, 173, 75, 96, 198, 176, 50, 133, 123, 53, 136, 72, 150, 158, 112, 83, 106, 6, 184, 125, 162, 94, 182]",,21.71396141697187,None,t,4.357064373965841,21.71396141697187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,21.71396141697187,None,26.11366095795529,None,space,0.8953144159750082,26.11366095795529,None,26.11366095795529,None,27.026117582980078,None,space,0.33685308299027383,27.026117582980078,None,27.026117582980078,None,27.39459749998059,None,space,0.3524052919819951,27.39459749998059,None,27.39459749998059,None,27.767791207996197,None,space,1.516211915994063,27.767791207996197,None,27.767791207996197,None,27.767791207996197,None,29.29969454195816,None,29.29969454195816,None,34.29469733295264,None,space,1.858317915990483,34.29469733295264,None,36.17513633298222,None,space,0.6768686659634113,36.17513633298222,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.902899457956664,None,space,1.1351190409623086,36.902899457956664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.08537016698392,None,39.08898458298063,None,['LeftButton_2'],-0.25,-0.29777777777777775,1,0,0,LeftButton_2,0.004036624683067203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00737974996446,None,44.03387895796914,None,['LeftButton_2'],-0.2638888888888889,-0.3244444444444444,1,0,0,LeftButton_2,0.0159484586911276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14769437495852,None,48.17216662497958,None,['LeftButton_2'],-0.2625,-0.33555555555555555,1,0,0,LeftButton_2,0.007954083615913987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,Greater,Smaller,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,52.70326658297563,None,-0.2625,-0.5111111111111111,1,0,0,LeftButton,0.008671750372741371,None,"['LeftButton', 'LeftButton']",58.339276291953865,None,None,None,None,None,61.14694716699887,64.14554087497527,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1875,1.7188245000434108,64.17904062499292,None,64.17904062499292,None,space,7.674201624991838,65.90182799997274,None,65.8948452079785,None,64.17904062499292,None,64.17904062499292,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,Greater,Smaller,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.26944444444444443,-0.5044444444444445,1,0,0,RightButton,0.0035901666269637644,None,"['RightButton', 'RightButton']",78.82950862497091,None,None,None,None,None,81.51813133299584,84.51222579198657,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.520833333333333,1.8280464169802144,84.53726987499977,None,84.53726987499977,None,space,0.8560449580545537,86.37800874997629,None,86.3686330000055,None,84.53726987499977,None,84.53726987499977,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,Greater,Smaller,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,-0.225,-0.5311111111111111,1,0,0,LeftButton,0.0036762086674571037,None,"['LeftButton', 'LeftButton']",91.92995987500763,None,None,None,None,None,95.48511641699588,98.47908141696826,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,53.0,1.4275744580081664,98.52892254199833,None,98.52892254199833,None,space,100.79183570796158,None,37.0,2.252150124986656,98.52892254199833,None,98.52892254199833,None,100.77878254198004,None,98.52892254199833,None,98.52892254199833,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.26822633302072063,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,Greater,Smaller,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,-0.28194444444444444,-0.5155555555555555,1,0,0,LeftButton,0.004237333661876619,None,"['LeftButton', 'LeftButton']",106.37857137498213,None,None,None,None,None,109.65015595796285,112.64581654197536,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,78.0,2.5549077090108767,112.69086416700156,None,112.69086416700156,None,space,115.26114274997963,None,58.0,1.5591352499905042,112.69086416700156,None,112.69086416700156,None,115.24822587496601,None,112.69086416700156,None,112.69086416700156,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.21794220799347386,,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
,,Smaller,Greater,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.29305555555555557,-0.5088888888888888,1,0,0,RightButton,0.0019177926587872207,None,"['RightButton', 'RightButton']",120.27308133296901,None,None,None,None,None,122.8801162079908,125.87908924999647,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53.61111111111111,1.3925090419943444,125.93613225000445,None,125.93613225000445,None,space,128.3027559169568,None,37.361111111111114,2.3531865409458987,125.93613225000445,None,125.93613225000445,None,125.93613225000445,None,125.93613225000445,None,125.93613225000445,None,None,None,,0.7723319579963572,,1,2024_Apr_29_1518,Interaction Game,2021.2.3,None,
