chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[3,8,6,14,20,15,33,30,26,41,47,36,56,51,59,62,63,66,74,81,76,84,92,93,97,106,99,110,108,111,123,131,130,134,138,135,144,151,149,162,159,163,171,172,178,181,185,188,194,199]",R_1BWz2lzoHP6Ecym,t,2.207,space,1.903,space,0.321,space,0.303,space,0.585,space,0.962,space,0.442,,1,9.407,3,2.818,2,1.256,2,0.35,0,0,0,0,1,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,space,2.02,"[""RightButton_2""]",0.28125,-0.335185185,1,0,0,RightButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,"[""RightButton_2""]",0.291666667,-0.32037037,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,"[""RightButton_2""]",0.321875,-0.351851852,1,0,0,RightButton_2,0,2,2,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,0.292708333,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,1.986,space,0.62,79,1.109,,,,,,0,0,0,3,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295833333,-0.507407407,1,0,0,RightButton,"[""RightButton""]",,,,,,,68,1.606,space,0.621,73,0.82,,,,,,0,1,1,2,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285416667,-0.285185185,0,0,0,,[],,,,,,,,,,,,,,,,,,0,2,2,4,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,76,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29375,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,0,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295833333,-0.485185185,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,1,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1BWz2lzoHP6Ecym,1,2024-04-01_11h08.33.320,interaction task,2021.2.3,MacIntel,62.5,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3,-0.47962963,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,1.843,space,0.72,83,1.011,,,,,,,,,,,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0,0,0,0,1
