choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,58,53]",space,6.9348,space,19.3766,friendly,2.970000153,5.8358,space,1.7052,0,0,0,10,1,11,image/11.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,3.995000305,6.3031,space,1.9292,0,1,1,49,1,50,image/50.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,6.980000305,3.0076,space,1.0534,0,2,2,50,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,3.980000305,5.105,space,3.4127,0,3,3,12,1,13,image/13.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,4.035000153,2.7579,space,1.0134,0,4,4,15,1,16,image/16.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,4.110000153,3.272,space,0.3985,0,5,5,8,1,9,image/9.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,4.445000305,1.7443,space,0.4414,0,6,6,9,1,10,image/10.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,3.985,3.2849,space,1.0624,0,7,7,18,1,19,image/19.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,3.795000153,4.9393,space,1.362,0,8,8,3,1,4,image/4.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
,,,,,,4.425000153,4.1375,space,0.9813,0,9,9,41,1,42,image/42.jpg,0,0,,R_1JOTZSNdzRD5obR,2,2024-05-14_20h40.11.336,face trait task,2021.2.3,Win32,60.24096386,120606,,,,,,,
