key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,1.7265,space,0.8954,3.936694743,2.128,space,0.5321,0,0,0,15,1,16,image/16.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.748410238,1.6131,space,0.4591,0,1,1,47,1,48,image/48.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.846565755,1.5199,space,0.3567,0,2,2,35,1,36,image/36.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.929511312,1.4052,space,0.6022,0,3,3,51,1,51,image/51.jpg,1,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.845435791,1.7387,space,0.366,0,4,4,26,1,27,image/27.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.845435791,1.1408,space,0.3667,0,5,5,37,1,38,image/38.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.845435791,1.0218,space,0.3915,0,6,6,49,1,50,image/50.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.845435791,1.4708,space,0.4034,0,7,7,41,1,42,image/42.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.845435791,0.9566,space,0.4426,0,8,8,44,1,45,image/45.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.847154541,1.0224,space,0.4105,0,9,9,29,1,30,image/30.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.847154541,1.0572,space,0.3578,0,10,10,6,1,7,image/7.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.847154541,1.0536,space,0.3611,0,11,11,48,1,49,image/49.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.950340576,1.4406,space,1.0016,0,12,12,16,1,17,image/17.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.385855393,9.4153,space,0.4145,0,13,13,21,1,22,image/22.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.449500749,1.0555,space,0.3842,0,14,14,46,1,47,image/47.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.449500749,0.6569,space,0.2886,0,15,15,32,1,33,image/33.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.608139892,2.9063,space,0.3576,0,16,16,38,1,39,image/39.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.59986552,1.0721,space,0.771,0,17,17,3,1,4,image/4.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,3.59986552,0.6233,space,0.8312,0,18,18,13,1,14,image/14.jpg,0,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
,,,,4.546699189,1.6897,space,0.2605,0,19,19,52,1,54,image/54.jpg,1,R_1QmCurp1iHFSiD1,2,2024-04-06_23h57.38.817,face trait task,2021.2.3,MacIntel,60.24096386,SONAid,,,,,,,
