key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,4.2388,space,1.1659,3.527354394,10.6103,space,0.7125,0,0,0,6,1,7,image/7.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,2.577081914,1.0618,space,0.2504,0,1,1,27,1,28,image/28.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,4.685530909,1.3534,space,0.1939,0,2,2,10,1,11,image/11.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,4.506077572,1.2467,space,0.5992,0,3,3,32,1,33,image/33.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,1.965886836,1.8297,space,0.3118,0,4,4,47,1,48,image/48.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,5.146745146,7.0385,space,0.4036,0,5,5,43,1,44,image/44.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,5.495242251,2.2196,space,2.2664,0,6,6,44,1,45,image/45.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,4.998584384,56.6,space,0.2167,0,7,7,5,1,6,image/6.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,4.926483736,2.1549,space,0.4236,0,8,8,25,1,26,image/26.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
,,,,3.311275971,1.5208,space,0.3994,0,9,9,22,1,23,image/23.jpg,0,R_1RlIO1DP8koMWuo,2,2024-04-09_13h54.53.800,face trait task,2021.2.3,MacIntel,62.89308176,SONAid,,,,,,,
