choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,54,52,52]",space,16.149,space,3.412,critical,6.073913043,5.153,space,0.929,0,0,0,49,1,50,image/50.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.615217391,5.158,space,0.778,0,1,1,1,1,2,image/2.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.808695652,3.828,space,0.402,0,2,2,14,1,15,image/15.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.304347826,2.055,space,0.351,0,3,3,26,1,27,image/27.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.765217391,2.102,space,0.323,0,4,4,23,1,24,image/24.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.467391304,1.896,space,0.235,0,5,5,41,1,42,image/42.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.204347826,4.334,space,0.467,0,6,6,11,1,12,image/12.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.593478261,5.409,space,1.089,0,7,7,9,1,10,image/10.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.673913043,9.261,space,0.484,0,8,8,15,1,16,image/16.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.269565217,1.918,space,0.371,0,9,9,42,1,43,image/43.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,1.730434783,2.152,space,0.335,0,10,10,38,1,39,image/39.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.256521739,2.835,space,1.024,0,11,11,34,1,35,image/35.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.447826087,3.023,space,1.018,0,12,12,25,1,26,image/26.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.719565217,2.476,space,0.41,0,13,13,7,1,8,image/8.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.558695652,7.611,space,3,0,14,14,12,1,13,image/13.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.486956522,1.957,space,0.745,0,15,15,27,1,28,image/28.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.817391304,2.205,space,0.236,0,16,16,2,1,3,image/3.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.82173913,3.391,space,0.333,0,17,17,17,1,18,image/18.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.989130435,4.801,space,3.436,0,18,18,50,1,55,image/55.jpg,1,6,Please drag the slider to around 6 to indicate that you are paying attention,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.419565217,3.307,space,0.446,0,19,19,32,1,33,image/33.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.876086957,2.259,space,0.298,0,20,20,0,1,1,image/1.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.315217391,3.452,space,0.94,0,21,21,35,1,36,image/36.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.62173913,2.029,space,0.358,0,22,22,10,1,11,image/11.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.832608696,2.027,space,0.328,0,23,23,16,1,17,image/17.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.341304348,3.109,space,0.267,0,24,24,13,1,14,image/14.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.226086957,2.854,space,0.516,0,25,25,28,1,29,image/29.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.367391304,3.102,space,0.684,0,26,26,45,1,46,image/46.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.204347826,1.969,space,0.41,0,27,27,21,1,22,image/22.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.241304348,3.823,space,0.284,0,28,28,18,1,19,image/19.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.806521739,3.111,space,0.29,0,29,29,19,1,20,image/20.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,1.515217391,2.28,space,0.766,0,30,30,33,1,34,image/34.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.356521739,3.173,space,0.261,0,31,31,43,1,44,image/44.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.734782609,5.609,space,0.467,0,32,32,29,1,30,image/30.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.693478261,2.396,space,0.284,0,33,33,36,1,37,image/37.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.332608696,2.257,space,0.673,0,34,34,40,1,41,image/41.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.284782609,6.418,space,0.484,0,35,35,30,1,31,image/31.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4,4.86,space,2.902,0,36,36,51,1,53,image/53.jpg,1,4,Please drag the slider to around 4 to indicate that you are paying attention,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.67826087,5.669,space,0.594,0,37,37,37,1,38,image/38.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.452173913,1.869,space,1.48,0,38,38,5,1,6,image/6.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.8,1.973,space,0.583,0,39,39,4,1,5,image/5.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.834782609,4.469,space,1.886,0,40,40,6,1,7,image/7.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,6.354347826,2.122,space,0.301,0,41,41,46,1,47,image/47.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,1.176086957,3.627,space,1.786,0,42,42,39,1,40,image/40.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,4.782608696,3.293,space,2.142,0,43,43,44,1,45,image/45.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,5.356521739,2.618,space,0.451,0,44,44,8,1,9,image/9.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,3.360869565,4.139,space,0.206,0,45,45,31,1,32,image/32.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
,,,,,,2.552173913,3.001,space,0.219,0,46,46,22,1,23,image/23.jpg,0,0,,R_1YUzjPBvYVnwzBL,2,2024-04-16_22h37.46.089,face trait task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,
