chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[58,60,147,180,124,118,169,54,97,182,42,80,140,87,130,115,188,85,155,112,69,122,157,141,81,30,156,201,161,197,91,102,1,66,170,145,177,57,132,15,83,99]",R_2D6PXoNGiJXqobD,space,5.7836,space,10.9423,space,34.1849,space,50.6604,space,118.6027,space,25.4248,space,12.1539,3,21.0301,3,17.1043,3,22.1615,2,26.2227,3,15.3979,0,0,0,0,1,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,11.3765,space,112.3942,space,55.4951,space,15.1859,space,18.5885,space,11.9724,3,10.1254,3,20.8899,3,12.5471,2,11.5927,3,17.4177,1,0,1,0,1,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,7.1277,space,2.272,space,1.3375,space,0.6622,space,3.0184,space,1.717,3,1.5755,1,15.3125,3,4.0123,2,3.6908,1,13.3166,2,0,2,0,1,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.6223,space,0.6591,space,0.4608,space,0.6836,space,1.2179,space,1.1352,3,2.3491,1,13.2956,3,2.654,2,2.3915,2,5.0986,3,0,3,0,1,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,space,7.5753,[],0.078760868,-0.191029324,0,0,0,0,0,0,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,"[""RightButton_2""]",0.265321689,-0.286884766,1,0,0,0,1,1,0,1,RightButton_2,11dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,"[""RightButton_2""]",0.25106625,-0.316744656,1,0,0,0,2,2,2,1,RightButton_2,9dot1.png,Greater,Smaller,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.269530487,-0.509653049,1,0,0,RightButton,"[""RightButton""]",14,10.1568,space,4.5491,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.292926619,-0.482007107,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.048372057,2.6093,space,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.5775,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.236804623,-0.508116048,1,0,0,RightButton,"[""RightButton""]",10,5.4904,space,1.119,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,,,,,,
