choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,55,60,54]",space,4.9748,space,5.3298,competent,7,4.1879,space,2.7134,0,0,0,51,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,5.018229167,4.693,space,1.7001,0,1,1,21,1,22,image/22.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,3.990234375,2.4641,space,0.3514,0,2,2,35,1,36,image/36.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,5.947395833,2.8635,space,0.5362,0,3,3,6,1,7,image/7.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,2.007395833,1.9963,space,0.2855,0,4,4,46,1,47,image/47.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,5.020859375,1.7317,space,0.2679,0,5,5,23,1,24,image/24.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,5.959140625,3.1134,space,0.3909,0,6,6,22,1,23,image/23.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,2.814348958,1.6801,space,0.5001,0,7,7,4,1,5,image/5.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,7,3.7782,space,2.1455,0,8,8,50,1,56,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
,,,,,,4.081432292,2.2284,space,0.3135,0,9,9,19,1,20,image/20.jpg,0,0,,R_3Hq0pKoFXUeyfKX,2,2024-05-14_13h12.05.963,face trait task,2021.2.3,MacIntel,61.72839506,120829,,,,,,,
