choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,52,56]",space,10.9782,space,34.511,trustworthy,3.977778117,2.5069,space,2.7008,0,0,0,48,1,49,image/49.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4.01111145,2.752,space,0.6,0,1,1,27,1,28,image/28.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4,1.8229,space,0.682,0,2,2,31,1,32,image/32.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,6.994444784,5.1573,space,0.6163,0,3,3,52,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,3,3.4828,space,0.6325,0,4,4,40,1,41,image/41.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4.016666667,2.2528,space,0.6532,0,5,5,18,1,19,image/19.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4.016666667,1.8686,space,0.5222,0,6,6,6,1,7,image/7.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4.966666667,3.8739,space,0.3906,0,7,7,28,1,29,image/29.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,3.005555725,2.1504,space,0.3879,0,8,8,38,1,39,image/39.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
,,,,,,4,2.065,space,0.2945,0,9,9,25,1,26,image/26.jpg,0,0,,R_3VjvlLbPe9t3xLs,2,2024-05-19_11h32.53.048,face trait task,2021.2.3,Win32,60.60606061,120965,,,,,,,
