chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,key_guilt.rt
"[4,127,92,17,80,114,29,168,52,71,83,107,155,61,97,54,45,176,175,55,116,112,139,156,162,133,164,198,152,76,101,130,69,182,185,153,187,93,193,120,134,86]",R_3VjvlLbPe9t3xLs,space,1.3426,space,2.1087,space,13.2008,space,22.7,space,28.6379,space,13.8432,space,7.5343,3,8.6365,3,8.721,3,7.0616,2,10.6837,1,8.6018,0,0,0,0,1,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.1194,space,0.641,space,0.751,space,8.0558,space,4.7031,space,0.7696,3,4.3344,1,5.2684,3,5.2998,2,1.717,2,0.6679,1,0,1,0,1,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,space,4.8509,[],-0.20625,-0.057407464,0,0,0,0,0,0,1,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,"[""LeftButton_2""]",-0.291666651,-0.292592621,1,0,0,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,"[""RightButton_2""]",0.253125,-0.301851908,1,0,0,0,2,2,2,1,LeftButton_2,9dot2.png,Smaller,Greater,RightButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,0.2,0.271875,-0.540740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.236458397,-0.531481595,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,8.7809,space,0,18.5008,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,1.422,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.317708302,-0.485185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.547141258,2.2378,space,0,4.1771,0,2,2,2,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,1.4006,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,0.315625,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,3,3,3,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.276041698,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,2.044,space,0,3.562,,,,,,0,4,4,4,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.924,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.311458397,-0.522222222,1,0,0,RightButton,"[""RightButton""]",,,,0.015625,22.4518,space,,,,,,,,,,,0,5,5,5,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,2.7329,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.302083302,-0.513611615,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,6,6,6,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.275,-0.516031532,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,48,6.1086,space,0,9.1571,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,1.0692,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,0.315625,-0.489413336,1,0,0,RightButton,"[""RightButton""]",50,4.5789,space,,,,,,,,,,,,,,0,8,8,8,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,,0.8185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.25,-0.499092559,1,0,0,LeftButton,"[""LeftButton""]",,,,0.010416746,3.9655,space,,,,,,,,,,,0,9,9,9,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,1.1915,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.3,-0.540230033,1,0,0,RightButton,"[""RightButton""]",,,,,,,49,4.1312,space,0,5.7573,,,,,,0,10,10,10,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,0.8678,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.272916698,-0.479733891,1,0,0,RightButton,"[""RightButton""]",1,6.5188,space,,,,,,,,,,,,,,0,11,11,11,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,0.8177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.292708397,-0.51119192,1,0,0,RightButton,"[""RightButton""]",29,3.6848,space,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,0.7142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,0.295833397,-0.520871143,1,0,0,RightButton,"[""RightButton""]",,,,0.151041746,3.0921,space,,,,,,,,,,,0,13,13,13,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,,,1.4926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.28125,-0.52329106,1,0,0,LeftButton,"[""LeftButton""]",3,5.4362,space,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,0.7813
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.302083397,-0.484573503,1,0,0,RightButton,"[""RightButton""]",45,4.5628,space,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,,2.1598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.303125,-0.489413336,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.307291698,-0.513611615,1,0,0,RightButton,"[""RightButton""]",,,,,,,31,6.1416,space,2,8.0736,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,0.8399,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.272916698,-0.484573503,1,0,0,RightButton,"[""RightButton""]",,,,,,,19,2.8304,space,1,5.0923,,,,,,0,18,18,18,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,1.0116,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.298958302,-0.489413336,1,0,0,LeftButton,"[""LeftButton""]",15,2.5786,space,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,0.9537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.358333397,-0.52329106,1,0,0,RightButton,"[""RightButton""]",,,,2.473958492,5.7111,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,0.7665,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,0.220833397,-0.528130672,1,0,0,RightButton,"[""RightButton""]",,,,2.609375,2.0609,space,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.8499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Smaller,Greater,,,0.288541698,-0.503932392,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.42087863,4.0812,space,0,7.7956,0,22,22,22,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,1.4049,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3VjvlLbPe9t3xLs,1,2024-05-19_11h15.48.159,interaction task,2021.2.3,Win32,59.88023952,120965,,,,,,,,,,,,,,,,Greater,Smaller,,,0.311458397,-0.491833031,1,0,0,RightButton,"[""RightButton""]",,,,2.494791985,3.2072,space,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,0.8672,
