chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[26,77,98,64,168,128,84,146,92,176,101,11,126,56,180,120,162,186,171,141,104,148,43,150,55,181,79,157,110,73,115,66,140,112,194,142,51,91,13,163,201,70]",R_3Vxfev3MGsXgbK1,space,1.7528,space,6.4484,space,18.1767,space,40.62,space,6.77,space,7.8986,space,3.1116,2,9.8452,1,11.8572,2,10.9948,1,9.5708,3,3.7061,0,0,0,0,1,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.0459,space,20.4019,space,16.612,space,36.3942,space,9.3095,space,2.2141,3,4.6158,1,3.8011,2,5.2303,2,2.9341,2,3.7972,1,0,1,0,1,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.1021,space,2.0475,space,0.2501,space,0.2491,space,7.8671,space,22.3055,3,2.5534,1,20.0188,3,7.6096,2,1.7656,2,0.6787,2,0,2,0,1,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,space,5.4068,"[""LeftButton_2""]",-0.303960503,-0.302560764,1,0,0,LeftButton_2,0,0,0,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,"[""RightButton_2""]",0.284564887,-0.323098958,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,"[""RightButton_2""]",0.286653646,-0.323342014,1,0,0,RightButton_2,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,0.2,-0.32132704,-0.530798611,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.290869141,-0.5409375,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,11.9995,space,31,17.9119,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,1.2637,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.297357856,-0.500060764,1,0,0,LeftButton,"[""LeftButton""]",1,5.3306,space,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,1.5167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.353884549,-0.496284722,1,0,0,RightButton,"[""RightButton""]",,,,3.48196072,10.7645,space,,,,,,,,,,,0,3,3,3,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,1.3635,
