choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,60,54,50]",space,21.0137,space,16.6364,competent,5.98618571,3.9978,space,2.569,0,0,0,15,1,16,image/16.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,5.002324626,2.6829,space,0.7505,0,1,1,14,1,15,image/15.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,5.969237061,2.6525,space,0.6258,0,2,2,25,1,26,image/26.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,4.985644938,2.5003,space,1.3065,0,3,3,37,1,38,image/38.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,6.547929687,4.1302,space,1.9207,0,4,4,50,1,61,image/61.jpg,1,6,Please drag the slider to around 6 to indicate that you are paying attention,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,4.464364421,3.123,space,1.343,0,5,5,28,1,29,image/29.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,3.988811035,3.0504,space,0.7241,0,6,6,36,1,37,image/37.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,4.562639974,2.3352,space,1.4884,0,7,7,0,1,1,image/1.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,5.014647624,2.2622,space,1.3631,0,8,8,7,1,8,image/8.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,5.014647624,2.8362,space,1.1843,0,9,9,23,1,24,image/24.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,4.485902913,2.7106,space,1.6386,0,10,10,4,1,5,image/5.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,3.983688558,1.935,space,0.7182,0,11,11,39,1,40,image/40.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
,,,,,,3.987021891,1.5627,space,1.4166,0,12,12,5,1,6,image/6.jpg,0,0,,R_3g0YlMh4uWQIm91,2,2024-04-21_12h17.17.195,face trait task,2021.2.3,MacIntel,58.47953216,119713,,,,,,,
