chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt
"[53,192,188,199,129,171,70,174,76,149,130,187,152,161,158,142,6,73,169,137,190,97,118,61,99,110,43,50,121,30,91,88,68,111,143,79,105,16,164,51,85,150]",R_3z8wN509TuVnNc6,space,3.902,space,5.087,space,332.299,space,23.275,space,23.092,space,7.834,space,6.111,3,8.245,1,18.171,1,16.572,2,9.902,3,8.118,0,0,0,0,1,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,5.296,space,7.035,space,10.826,space,26.138,space,3.063,space,1.299,3,1.929,1,2.071,3,3.846,2,13.493,2,2.229,1,0,1,0,1,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,space,4.196,"[""RightButton_2""]",0.354166667,-0.306666667,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,"[""RightButton_2""]",0.234722222,-0.293333333,1,0,0,RightButton_2,0,1,1,0,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,"[""LeftButton_2""]",-0.330555556,-0.302222222,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,9dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.331944444,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",19,6.074,space,1.576,,,,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.363888889,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,1,1,1,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.240277778,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.12345679,6.514,space,89.70258137,10.911,0,2,2,2,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,1.321,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276388889,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,3,3,3,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3z8wN509TuVnNc6,1,2024-04-10_18h56.17.527,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.241666667,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,35.537,space,1,40.368,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,1.173,
