choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,58,51,60]",space,21.1413,space,24.6332,trustworthy,5.981997283,5.749,space,5.1496,0,0,0,12,1,13,image/13.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,4.036302649,4.3405,space,1.47,0,1,1,27,1,28,image/28.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,4.384171196,5.0772,space,2.9346,0,2,2,10,1,11,image/11.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,6.570023777,3.4036,space,1.9039,0,3,3,33,1,34,image/34.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,5.071730639,3.4075,space,1.248,0,4,4,30,1,31,image/31.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,3.682014266,4.1065,space,1.5821,0,5,5,29,1,30,image/30.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,6.008746603,5.3684,space,0.5984,0,6,6,22,1,23,image/23.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,6.885054348,3.768,space,2.5024,0,7,7,24,1,25,image/25.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,6.967238451,5.3454,space,5.6917,0,8,8,47,1,48,image/48.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
,,,,,,6.936387568,6.3156,space,0.5575,0,9,9,16,1,17,image/17.jpg,0,0,,R_5LgU1eXqKtcFTuL,2,2024-04-17_02h48.04.888,face trait task,2021.2.3,MacIntel,30.86419753,120216,,,,,,,
