chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[175,74,159,173,197,165,97,203,185,157,181,64,128,57,191,171,50,139,120,133,96,72,82,93,132,69,85,8,110,48,63,87,123,13,104,115,117,149,29,38,146,145]",R_5fVxDGEG0OvT1TP,space,1.82,space,15.943,space,11.158,space,43.056,space,35.63,space,14.921,space,5.644,3,4.62,1,4.834,3,6.555,2,7.991,2,3.956,0,0,0,0,1,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,space,2.124,"[""LeftButton_2""]",-0.3125,-0.3375,1,0,0,LeftButton_2,0,0,0,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,"[""LeftButton_2""]",-0.1640625,-0.3525,1,0,0,LeftButton_2,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,"[""RightButton_2""]",0.30625,-0.2725,1,0,0,RightButton_2,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,0.2453125,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,,,,34,21.916,space,10.776,10,14.145,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2546875,-0.525,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,2.567,space,2.496,10,5.618,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2515625,-0.525,1,0,0,LeftButton,"[""LeftButton""]",,,,4.4375,7.758,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.035,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2359375,-0.4875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,5.135,space,1.204,10,12.189,,,,,,0,3,3,3,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.315625,-0.5375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246875,-0.495,1,0,0,RightButton,"[""RightButton""]",,,,4.9375,6.291,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,1.118,,,,,,,,
