chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[168,124,167,102,202,161,178,191,192,81,190,159,144,171,138,184,63,55,117,94,48,148,78,151,134,103,133,101,112,119,122,129,92,60,88,80,54,39,66,30,2,18]",R_5rCBwHBJTpvkpb3,space,1.507,space,2.845,space,8.928,space,33.458,space,45.791,space,10.123,space,4.228,3,9.884,1,7.342,2,9.422,2,10.821,2,3.369,0,0,0,0,1,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.604,space,3.504,space,4.519,space,0.378,space,1.457,space,1.304,3,3.735,1,3.499,3,1.47,2,0.956,2,1.938,1,0,1,0,1,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,space,3.087,"[""RightButton_2""]",0.238888889,-0.34,1,0,0,RightButton_2,0,0,0,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,"[""RightButton_2""]",0.338888889,-0.317777778,1,0,0,RightButton_2,0,1,1,2,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,"[""RightButton_2""]",0.348611111,-0.304444444,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,0.6,-0.270833333,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,70,10.765,space,0.987,70,17.196,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.347222222,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.047,space,0.887,80,7.779,,,,,,0,1,1,1,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265277778,-0.513333333,1,0,0,RightButton,"[""RightButton""]",,,,5,8.882,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,1.319,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.231944444,-0.491111111,1,0,0,RightButton,"[""RightButton""]",9,5.507,space,,,,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,2.791,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.225,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.361111111,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",,,,4.965277778,4.604,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,1.133,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3125,-0.486666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,80,5.401,space,0.694,81,13.414,,,,,,0,6,6,6,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.356944444,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,40.03928171,10.245,space,79.18069585,12.584,0,7,7,7,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,0.823,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288888889,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,8,8,8,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322222222,-0.502222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,60,7.734,space,1.419,40,10.785,,,,,,0,9,9,9,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.220833333,-0.502222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.65768799,4.83,space,89.98316498,8.479,0,10,10,10,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,0.89,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.336111111,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,4.9375,3.387,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,1.503,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251388889,-0.502222222,1,0,0,LeftButton,"[""LeftButton""]",81,5.124,space,,,,,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,1.627,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2375,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,90,3.103,space,0.291,90,7.568,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,,,,,,,
