choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,56,60,56]",space,15.584,space,35.962,friendly,4.996825397,5.425,space,0.958,0,0,0,6,1,7,image/7.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,4.019047619,6.185,space,0.546,0,1,1,0,1,1,image/1.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,2.958730159,3.189,space,0.442,0,2,2,25,1,26,image/26.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,2.025396825,2.067,space,0.55,0,3,3,21,1,22,image/22.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,5.00952381,2.144,space,0.359,0,4,4,43,1,44,image/44.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,4.971428571,4.261,space,0.702,0,5,5,10,1,11,image/11.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,6.946031746,4.04,space,0.88,0,6,6,52,1,57,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,6.946031746,1.805,space,0.487,0,7,7,51,1,61,image/fill_img.png,1,7,Please move the slider all the way to the RIGHT to show that you are paying attention.,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,4.60952381,5.343,space,1.039,0,8,8,1,1,2,image/2.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
,,,,,,3.434920635,1.895,space,0.399,0,9,9,8,1,9,image/9.jpg,0,0,,R_5uP9JJsaCJo6OOz,2,2024-05-09_23h20.18.562,face trait task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,
