chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[131,51,149,165,2,65,195,53,139,203,126,158,181,180,76,187,128,179,88,113,142,150,168,37,54,110,96,161,34,69,155,81,64,100,107,109,95,73,138,18,178,87]",R_5uP9JJsaCJo6OOz,space,1.634,space,3.433,space,17.762,space,24.118,space,38.64,space,8.747,space,3.057,3,6.223,1,5.169,3,6.304,2,5.877,2,3.822,0,0,0,0,1,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,space,2.096,[],0.056878307,-0.128042328,0,0,0,0,0,0,1,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,"[""LeftButton_2""]",-0.256613757,-0.312169312,1,0,0,0,1,1,2,1,RightButton_2,9dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,"[""LeftButton_2""]",-0.334656085,-0.343915344,1,0,0,0,2,2,0,1,LeftButton_2,9dot1.png,Smaller,Greater,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,0.2,-0.273809524,-0.496296296,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,42,16.564,space,1.528,30,21.139,,,,,,0,0,0,0,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,0.261904762,-0.523809524,1,0,0,RightButton,"[""RightButton""]",37,3.231,space,,,,,,,,,,,,,,,0,1,1,1,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,1.071,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.306878307,-0.540740741,1,0,0,LeftButton,"[""LeftButton""]",65,5.49,space,,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,1.377,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.332010582,-0.498412698,1,0,0,LeftButton,"[""LeftButton""]",,,,4.98015873,9.774,space,,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,1.26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.294973545,-0.498412698,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,4,4,4,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5uP9JJsaCJo6OOz,1,2024-05-09_23h04.13.174,interaction task,2021.2.3,MacIntel,30.3030303,120968,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.281746032,-0.494179894,1,0,0,LeftButton,"[""LeftButton""]",,,,4.966931217,6.024,space,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,1.06,
