chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[150,137,177,160,176,55,70,109,174,67,51,131,123,59,148,85,83,89,197,181,80,167,141,139,76,184,37,107,189,93,112,71,122,30,199,149,16,104,105,116,161,4]",R_71Et5V1BaqiJuoR,space,0.8058,space,0.4536,space,0.7958,space,0.3776,space,0.566,space,1.8748,space,1.598,3,1.6281,1,1.5435,3,7.8858,2,2.326,2,0.5158,0,0,0,0,1,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,space,2.339,[],-0.009078414,-0.105066788,0,0,0,0,0,0,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,"[""LeftButton_2""]",-0.256184896,-0.289619063,1,0,0,0,1,1,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,"[""LeftButton_2""]",-0.224041005,-0.337514429,1,0,0,0,2,2,1,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.312954696,-0.494795102,1,0,0,RightButton,"[""RightButton""]",0,8.7129,space,1.2539,,,,,,,,,,,,,,0,0,0,0,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.240616733,-0.4609375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,0.037223258,4.5467,space,0,7.066,0,1,1,1,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.6375,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.285135582,-0.528858839,1,0,0,RightButton,"[""RightButton""]",,,,,,,,1,1.4285,space,1,5.3704,,,,,,0,2,2,2,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,1.1062,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.284686053,-0.543669608,1,0,0,RightButton,"[""RightButton""]",,,,,1.013842386,7.8541,space,,,,,,,,,,,0,3,3,3,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,1.4516,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.301824983,-0.502370547,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,51,7.9312,space,20,9.4201,,,,,,0,4,4,4,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,0.707,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.23718068,-0.476325445,1,0,0,LeftButton,"[""LeftButton""]",0,1.9709,space,0.9058,,,,,,,,,,,,,,0,5,5,5,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
