key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
space,101.6092,space,51.6983,5.0234375,14.3538,space,6.9851,0,0,0,48,1,49,image/49.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.015625,6.9669,space,3.3241,0,1,1,38,1,39,image/39.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.953125,7.2712,space,2.0361,0,2,2,3,1,4,image/4.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,5.0234375,4.7979,space,0.9182,0,3,3,52,1,56,image/56.jpg,1,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,6.0703125,4.2915,space,0.804,0,4,4,10,1,11,image/11.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4,4.2848,space,0.5189,0,5,5,35,1,36,image/36.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,3.09375,4.7114,space,0.9926,0,6,6,40,1,41,image/41.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.921875,3.5293,space,0.9193,0,7,7,12,1,13,image/13.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4,2.6345,space,0.7899,0,8,8,26,1,27,image/27.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,6.9296875,1.7354,space,0.7563,0,9,9,45,1,46,image/46.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,5.0390625,8.5563,space,7.2005,0,10,10,1,1,2,image/2.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,5.1171875,2.2624,space,0.867,0,11,11,37,1,38,image/38.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.0390625,3.7109,space,2.1606,0,12,12,5,1,6,image/6.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.4453125,7.2226,space,2.5352,0,13,13,41,1,42,image/42.jpg,0,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
,,,,4.921875,4.4856,space,2.6885,0,14,14,51,1,55,image/55.jpg,1,R_73JC3XxCdLeJrlD,2,2024-04-09_19h38.34.551,face trait task,2021.2.3,Win32,59.88023952,SONAid,,,,,,,
