chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,key_guilt.rt
"[201,143,170,194,160,180,63,168,106,189,178,56,158,118,188,8,95,45,130,119,112,93,148,49,140,128,131,85,99,104,75,60,134,33,74,14,51,62,150,149,167,83]",R_7eap0FQxb1TrCnY,space,0.817,space,0.87,space,0.669,space,0.643,space,0.748,space,4.499,space,1.127,2,8.392,1,6.711,3,11.398,1,8.233,3,5.788,0,0,0,0,1,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,4.46,space,11.956,space,15.767,space,8.859,space,2.233,space,1.249,2,4.866,1,4.149,1,5.81,1,11.361,3,6.996,1,0,1,0,1,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.445,space,0.138,space,0.139,space,0.139,space,2.723,space,0.39,1,4.555,1,3.272,3,2.653,2,2.352,1,1.211,2,0,2,0,1,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.301,space,0.152,space,0.138,space,0.159,space,0.335,space,0.321,3,2.568,1,2.351,3,1.17,3,6.46,2,3.352,3,0,3,0,1,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.053,space,0.303,space,0.176,space,0.135,space,0.218,space,0.173,3,1.951,1,1.586,3,1.54,2,2.217,2,2.618,4,0,4,0,1,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,space,1.426,"[""LeftButton_2""]",-0.381944444,-0.297777778,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,"[""RightButton_2""]",0.345833333,-0.282222222,1,0,0,RightButton_2,0,1,1,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,"[""RightButton_2""]",0.211111111,-0.282222222,1,0,0,RightButton_2,0,2,2,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,0.6,-0.280555556,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.222222222,-0.497777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,70.90347924,5.228,space,19.27609428,8.431,0,1,1,1,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,1.043,,,
