chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
"[177,78,105,112,143,159,118,48,85,29,71,129,106,92,19,56,172,188,97,171,79,199,166,111,8,62,153,54,142,185,160,133,65,95,47,127,146,154,76,183,193,126]",R_8cvY6RMpIIbMEo3,space,2.5593,space,11.5066,space,12.7031,space,26.6855,space,41.2899,space,13.2257,space,4.3285,3,9.1553,1,19.3817,3,7.5545,2,11.5199,2,2.3438,0,0,0,0,1,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,space,3.3384,[],0.281515731,-0.374074389,0,0,0,0,0,0,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,"[""LeftButton_2""]",-0.283051658,-0.313170856,1,0,0,0,1,1,0,1,LeftButton_2,11dot2.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,"[""LeftButton_2""]",-0.312452168,-0.322070313,1,0,0,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,LeftButton_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,0.4,0.315492134,-0.526129416,1,0,0,RightButton,"[""RightButton""]",,,,,,,49,6.0621,space,2.1126,0,15.9112,,,,,,0,0,0,0,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.270514456,-0.543189538,1,0,0,RightButton,"[""RightButton""]",,,,,,,50,5.0503,space,2.6625,0,6.8888,,,,,,0,1,1,1,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.266103316,-0.489079484,1,0,0,LeftButton,"[""LeftButton""]",0,4.9182,space,,,,,,,,,,,,,,,0,2,2,2,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,1.1898,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.349665179,-0.511421535,1,0,0,RightButton,"[""RightButton""]",,,,2.017033376,12.228,space,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,4.198,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.29375,-0.502836277,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,6.3582,space,0.618536556,9.4974,0,4,4,4,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,1.6847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.308891369,-0.521773098,1,0,0,RightButton,"[""RightButton""]",,,,3.030373087,2.9094,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,0.9521,
