choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,59,58,54]",space,7.988,space,13.406,critical,5.043478261,6.476,space,1.294,0,0,0,28,1,29,image/29.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,5.063043478,5.237,space,1.169,0,1,1,33,1,34,image/34.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.026086957,3.693,space,0.607,0,2,2,0,1,1,image/1.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.026086957,2.929,space,0.644,0,3,3,17,1,18,image/18.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.02826087,3.077,space,0.375,0,4,4,42,1,43,image/43.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.034782609,2.121,space,0.817,0,5,5,7,1,8,image/8.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.026086957,2.905,space,0.275,0,6,6,14,1,15,image/15.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.015217391,3.985,space,0.751,0,7,7,36,1,37,image/37.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.984782609,2.937,space,0.343,0,8,8,47,1,48,image/48.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.639130435,2.736,space,0.886,0,9,9,32,1,33,image/33.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,5.291304348,2.209,space,0.586,0,10,10,38,1,39,image/39.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,5.467391304,1.611,space,0.61,0,11,11,19,1,20,image/20.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,2.304347826,2.192,space,0.335,0,12,12,34,1,35,image/35.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,6.263043478,2.243,space,0.372,0,13,13,27,1,28,image/28.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.713043478,2.003,space,0.757,0,14,14,31,1,32,image/32.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,4.410869565,1.668,space,0.452,0,15,15,8,1,9,image/9.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,2.976086957,1.521,space,0.359,0,16,16,1,1,2,image/2.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.210869565,2.038,space,0.251,0,17,17,46,1,47,image/47.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,2.747826087,2.188,space,0.224,0,18,18,24,1,25,image/25.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,6.817391304,2.671,space,0.241,0,19,19,30,1,31,image/31.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
,,,,,,3.895652174,2.012,space,0.275,0,20,20,44,1,45,image/45.jpg,0,0,,R_2KryIkmTCOb6eUU,2,2024-05-06_20h13.06.799,face trait task,2021.2.3,MacIntel,58.82352941,120811,,,,,,,
