chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt
"[71,105,3,181,103,51,116,95,62,89,49,178,107,164,202,183,41,130,137,25,76,117,87,56,170,78,145,123,115,61,134,194,144,135,172,163,80,187,131,156,14,151]",R_1WtVKNu6flh5Sp7,space,1.2112,space,2.7676,space,16.0329,space,17.4277,space,25.5897,space,4.0915,space,1.3676,2,8.5111,3,10.0406,3,8.4425,1,7.7345,3,9.0621,0,0,0,0,1,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,1.1855,space,8.4637,space,12.9054,space,27.4734,space,6.133,space,2.2043,4,2.9075,3,11.2827,3,9.5667,2,1.6166,2,5.7104,1,0,1,0,1,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.9769,space,11.0359,space,1.3999,space,0.6072,space,0.6248,space,0.5908,3,4.7503,1,4.5339,3,2.3272,2,2.3106,2,0.5837,2,0,2,0,1,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,space,3.5227,"[""LeftButton_2""]",-0.246874968,-0.33148151,1,0,0,LeftButton_2,0,0,0,1,1,RightButton_2,11dot2.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,"[""LeftButton_2""]",-0.257291635,-0.268518519,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,"[""LeftButton_2""]",-0.204166651,-0.327777863,1,0,0,LeftButton_2,0,2,2,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,0.4,0.258333365,-0.477777834,1,0,0,RightButton,"[""RightButton""]",,,,2.567708492,16.2677,space,2.4658,,,,,,,,,,,0,0,0,0,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.21875,-0.503703788,1,0,0,LeftButton,"[""LeftButton""]",1,3.6642,space,,,,,,,,,,,,,,,0,1,1,1,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,1.2401,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.203125,-0.535185213,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,2,2,2,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1WtVKNu6flh5Sp7,1,2024-04-29_16h54.58.573,interaction task,2021.2.3,Win32,59.52380952,120967,,,,,,,,,,,,,,,,,Greater,Smaller,,0.266666651,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.29546418,5.7324,space,9.806396504,8.7932,0,3,3,3,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,1.0721,
