chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,key_share.rt
"[9,91,153,93,122,101,54,112,183,171,164,70,179,199,162,139,50,23,104,100,128,141,111,90,74,184,35,129,63,116,197,176,71,58,160,75,154,155,182,80,41,143]",R_2R6CcD6FyRm7qDv,space,1.4551,space,0.5347,space,0.5575,space,0.4528,space,0.4913,space,4.8745,space,0.5415,3,1.945,2,4.0937,3,5.3418,2,3.0404,1,7.6233,0,0,0,0,1,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,0.7814,space,0.3684,space,0.2814,space,0.5158,space,2.4485,space,0.9151,3,1.196,3,4.1319,3,1.8474,2,2.6481,2,2.4601,1,0,1,0,1,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.4036,space,0.4957,space,0.3311,space,0.3046,space,7.2162,space,0.4865,3,1.2132,1,1.9112,3,1.7695,2,1.65,2,0.8508,2,0,2,0,1,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,space,0.9718,"[""RightButton_2""]",0.32460395,-0.347734375,1,0,0,RightButton_2,0,0,0,2,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,"[""LeftButton_2""]",-0.231841363,-0.338741319,1,0,0,LeftButton_2,0,1,1,0,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,"[""LeftButton_2""]",-0.303721788,-0.306475694,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,9dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,0,0.325645616,-0.516805556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,0,0,0,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.320632595,-0.5178125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,93.68336139,4.2104,space,12.00338892,5.6981,0,1,1,1,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,0.4529,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.315397135,-0.507604167,1,0,0,RightButton,"[""RightButton""]",4,1.9,space,,,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,0.9807,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Smaller,Greater,,0.309743924,-0.494296875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,97.83895816,2.5417,space,9.477040369,4.0759,0,3,3,3,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,0.5832,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2R6CcD6FyRm7qDv,1,2024-04-28_22h36.29.209,interaction task,2021.2.3,MacIntel,59.88023952,120605,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.291525608,-0.484392361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,3,5.3049,space,72,8.1944,,,,,,0,4,4,4,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,1.551,
