chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
"[134,186,165,98,69,161,131,174,151,195,140,58,106,42,87,146,156,199,116,16,90,52,141,130,115,77,85,67,62,50,177,24,99,9,178,129,147,188,72,82,117,187]",R_3NHYjetBGepYbrK,space,2.9512,space,3.7332,space,13.5585,space,17.9333,space,38.0043,space,7.8949,space,3.5773,3,10.8685,3,9.9511,3,9.1693,2,12.0217,2,6.1232,0,0,0,0,1,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,space,2.4012,space,4.0261,space,3.6443,space,0.6107,space,1.5181,space,0.5157,3,5.5514,1,6.4576,3,4.8037,2,2.4493,2,1.096,1,0,1,0,1,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,space,1.7346,"[""LeftButton_2""]",-0.266427951,-0.337204861,1,0,0,LeftButton_2,0,0,0,2,1,LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,"[""LeftButton_2""]",-0.266427951,-0.337204861,1,0,0,LeftButton_2,0,1,1,0,1,LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,"[""LeftButton_2""]",-0.266427951,-0.337204861,1,0,0,LeftButton_2,0,2,2,1,1,RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,0.4,-0.27070855,-0.51828125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.75701021,10.1929,space,1.3793,0.666057274,16.971,0,0,0,0,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.277360026,-0.539513889,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,49.77092978,3.74,space,1.5882,59.58587612,6.9756,0,1,1,1,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267561849,-0.530173611,1,0,0,RightButton,"[""RightButton""]",,,,3.016276042,11.1323,space,,,,,,,,,,,,0,2,2,2,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,1.3705,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.282253689,-0.530460069,1,0,0,RightButton,"[""RightButton""]",1,8.8195,space,,,,,,,,,,,,,,,0,3,3,3,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,1.0365,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.289339193,-0.505607639,1,0,0,RightButton,"[""RightButton""]",,,,3.003553602,3.6482,space,,,,,,,,,,,,0,4,4,4,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.0564,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.260682509,-0.515243056,1,0,0,LeftButton,"[""LeftButton""]",,,,2.994981554,6.8833,space,,,,,,,,,,,,0,5,5,5,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,2.9561,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.222352431,-0.509331597,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,6.2142,space,2,12.1968,,,,,,,0,6,6,6,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,2.7354,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.30367296,-0.518125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,20,4.8273,space,60,8.8767,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,1.0529,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.356656901,-0.499678819,1,0,0,LeftButton,"[""LeftButton""]",60,3.1171,space,,,,,,,,,,,,,,,0,8,8,8,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,1.9452,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284749349,-0.534826389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,9,9,9,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.284749349,-0.534826389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.67645202,4.413,space,1.1857,1.860729693,6.3362,0,10,10,10,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.311962891,-0.530529514,1,0,0,LeftButton,"[""LeftButton""]",0,5.4511,space,,,,,,,,,,,,,,,0,11,11,11,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.8864,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273583984,-0.52,1,0,0,LeftButton,"[""LeftButton""]",5,2.585,space,,,,,,,,,,,,,,,0,12,12,12,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,0.7833,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320453559,-0.482048611,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,3,RandomDot11.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.289084201,-0.488246528,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.66112514,6.5018,space,0.9196,3.237891063,13.7934,0,14,14,14,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.216525608,-0.517282986,1,0,0,RightButton,"[""RightButton""]",89,7.204,space,,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,1.6283,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.207145182,-0.491961806,1,0,0,RightButton,"[""RightButton""]",,,,3.126464844,4.6204,space,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,1.2848,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.33352322,-0.497604167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28811849,-0.504131944,1,0,0,RightButton,"[""RightButton""]",,,,2.016574436,5.9502,space,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.9407,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Greater,Smaller,,0.350515408,-0.485616319,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3NHYjetBGepYbrK,1,2024-05-03_13h34.59.294,interaction task,2021.2.3,MacIntel,30.03003003,120245,,,,,,,,,,,,,,,,,Smaller,Greater,,0.261214193,-0.500694444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.68997703,3.8591,space,2.7514,0.546042017,6.029,0,20,20,20,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,,,,,,,
