prac_answer,prac_dot_sti,dotlefttext,dotrighttext,type_trial,stipic,DV,picture,answer,number,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,chooserow,ParID,welcome.started,welcome.stopped,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_2.started,pre_instru_resp_2.stopped,press_space.started,press_space.stopped,ins1.started,ins1.stopped,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_3.started,pre_instru_resp_3.stopped,press_space1.started,press_space1.stopped,ins1_4.started,ins1_4.stopped,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_9.started,pre_instru_resp_9.stopped,press_space1_4.started,press_space1_4.stopped,ins1_3.started,ins1_3.stopped,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_8.started,pre_instru_resp_8.stopped,press_space1_3.started,press_space1_3.stopped,ins2.started,ins2.stopped,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_4.started,pre_instru_resp_4.stopped,press_space2.started,press_space2.stopped,Rule.started,Rule.stopped,text_18.started,text_18.stopped,aver_image.started,aver_image.stopped,ins3.started,ins3.stopped,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_5.started,pre_instru_resp_5.stopped,ins3_2.started,ins3_2.stopped,pre_instru_resp_6.keys,pre_instru_resp_6.rt,pre_instru_resp_6.started,pre_instru_resp_6.stopped,check1.started,check1.stopped,a1.started,a1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,check2.started,check2.stopped,b1.started,b1.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,check3.started,check3.stopped,c1.started,c1.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,check4.started,check4.stopped,d1.started,d1.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,check5.started,check5.stopped,e1.started,e1.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,text_15.started,text_15.stopped,text.started,text.stopped,pre_instru_resp.keys,pre_instru_resp.rt,pre_instru_resp.started,pre_instru_resp.stopped,start_prac_text.started,start_prac_text.stopped,image.started,image.stopped,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,judge_2.started,judge_2.stopped,prac_acc,text_10.started,text_10.stopped,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,judge.started,judge.stopped,clicked_guilt,text_16.started,text_16.stopped,text_14.started,text_14.stopped,text_12.started,text_12.stopped,PunishImg.started,PunishImg.stopped,slider_guilt.response,slider_guilt.rt,slider_guilt.started,slider_guilt.stopped,text_8.started,text_8.stopped,key_guilt.keys,key_guilt.started,key_guilt.stopped,text_9.started,text_9.stopped,text_17.started,text_17.stopped,pairing_sub_cur_trial.started,pairing_sub_cur_trial.stopped,result_cur_trial.started,result_cur_trial.stopped,time_reminder.started,time_reminder.stopped,share_slider.response,share_slider.rt,share_slider.started,share_slider.stopped,share_text.started,share_text.stopped,key_share.keys,key_share.rt,key_share.started,key_share.stopped,text_29.started,text_29.stopped,pairing_sub_cur_trial_2.started,pairing_sub_cur_trial_2.stopped,result_cur_trial_2.started,result_cur_trial_2.stopped,time_reminder2.started,time_reminder2.stopped,slider_apology.response,slider_apology.rt,slider_apology.started,slider_apology.stopped,text_apology.started,text_apology.stopped,key_apology.keys,key_apology.started,key_apology.stopped,slider_hide.response,slider_hide.rt,slider_hide.started,slider_hide.stopped,text_hide.started,text_hide.stopped,text_31.started,text_31.stopped,pairing_sub_cur_trial_3.started,pairing_sub_cur_trial_3.stopped,result_cur_trial_3.started,result_cur_trial_3.stopped,time_reminder3.started,time_reminder3.stopped,slider_forgiveness.response,slider_forgiveness.rt,slider_forgiveness.started,slider_forgiveness.stopped,text_forgiveness.started,text_forgiveness.stopped,key_forgiveness.keys,key_forgiveness.started,key_forgiveness.stopped,slider_mad.response,slider_mad.rt,slider_mad.started,slider_mad.stopped,text_mad.started,text_mad.stopped,text_19.started,text_19.stopped,pairing_sub_cur_trial_4.started,pairing_sub_cur_trial_4.stopped,result_cur_trial_4.started,result_cur_trial_4.stopped,time_reminder4.started,time_reminder4.stopped,key_forgiveness.rt,key_guilt.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,"[115, 172, 2, 168, 97, 147, 69, 132, 140, 125, 182, 71, 102, 105, 188, 88, 55, 109, 29, 170, 50, 202, 157, 79, 84, 77, 76, 90, 123, 183, 58, 162, 39, 167, 65, 122, 136, 146, 111, 196, 155, 23]",,23.245179624995217,None,t,5.825865457998589,23.245179624995217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,23.245179624995217,None,29.103094417019747,None,space,5.685969623969868,29.103094417019747,None,29.103094417019747,None,34.80391941702692,None,space,0.7201200409908779,34.80391941702692,None,34.80391941702692,None,35.5519115839852,None,space,0.32612937502563,35.5519115839852,None,35.5519115839852,None,35.89684100000886,None,space,1.0022480830084532,35.89684100000886,None,35.89684100000886,None,35.89684100000886,None,36.918434209015686,None,36.918434209015686,None,41.914892917033285,None,space,25.032146083016414,41.914892917033285,None,66.96649204200367,None,space,1.4055603329907171,66.96649204200367,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.42089300003136,None,space,2.421188040985726,68.42089300003136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
LeftButton_2,9dot1.png,Smaller,Greater,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.88677687500603,None,71.89422941702651,None,['RightButton_2'],0.25277777777777777,-0.2866666666666667,1,0,0,RightButton_2,0.003831415611784905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
RightButton_2,11dot1.png,Smaller,Greater,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20371779199922,None,76.22482141701039,None,['RightButton_2'],0.23472222222222222,-0.34444444444444444,1,0,0,RightButton_2,0.01593099959427491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.36878062499454,None,80.39399645902449,None,['RightButton_2'],0.24027777777777778,-0.34444444444444444,1,0,0,RightButton_2,0.00960641767596826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,Smaller,Greater,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,85.00547708402155,None,0.2763888888888889,-0.5044444444444445,1,0,0,RightButton,0.004230501304846257,None,"['RightButton', 'RightButton']",90.94768854201538,None,None,None,None,None,93.70662587502738,96.69371987500926,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.840277777777778,3.3016411249991506,96.73974429199006,None,96.73974429199006,None,space,1.7956818329985254,100.04541679203976,None,100.03854616702301,None,96.73974429199006,None,96.73974429199006,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,Greater,Smaller,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.2513888888888889,-0.52,1,0,0,RightButton,0.003172916651237756,None,"['RightButton', 'RightButton']",106.40602954203496,None,None,None,None,None,109.7619293340249,112.75669454201125,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,58.47222222222223,2.4898874170030467,112.81308837502729,None,112.81308837502729,None,space,115.33528070902685,None,71.38888888888889,1.4219114580191672,112.81308837502729,None,112.81308837502729,None,112.81308837502729,None,112.81308837502729,None,112.81308837502729,None,None,None,0.6328709159861319,,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,Greater,Smaller,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.24027777777777778,-0.5288888888888889,1,0,0,RightButton,0.003799542668275535,None,"['RightButton', 'RightButton']",121.3393206250039,None,None,None,None,None,124.21044366701972,127.20669137500226,56.0,1.8057798329973593,127.23109829198802,None,127.23109829198802,None,space,129.04799795901636,None,127.23109829198802,None,129.03918975003762,None,127.23109829198802,None,127.23109829198802,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1.5071101660141721,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
,,Smaller,Greater,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.2569444444444444,-0.5044444444444445,1,0,0,RightButton,0.013772459351457655,None,"['RightButton', 'RightButton']",135.8452798340004,None,None,None,None,None,140.19412966701202,143.19019729201682,61.0,1.847064292000141,143.21304699999746,None,143.21304699999746,None,space,145.0733490420389,None,143.21304699999746,None,145.0644378340221,None,143.21304699999746,None,143.21304699999746,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,0.9007949579972774,,1,2024_Apr_29_1222,Interaction Game,2021.2.3,None,
