prac_answer,prac_dot_sti,dotlefttext,dotrighttext,type_trial,stipic,DV,picture,answer,number,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,chooserow,ParID,welcome.started,welcome.stopped,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_2.started,pre_instru_resp_2.stopped,press_space.started,press_space.stopped,ins1.started,ins1.stopped,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_3.started,pre_instru_resp_3.stopped,press_space1.started,press_space1.stopped,ins1_4.started,ins1_4.stopped,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_9.started,pre_instru_resp_9.stopped,press_space1_4.started,press_space1_4.stopped,ins1_3.started,ins1_3.stopped,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_8.started,pre_instru_resp_8.stopped,press_space1_3.started,press_space1_3.stopped,ins2.started,ins2.stopped,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_4.started,pre_instru_resp_4.stopped,press_space2.started,press_space2.stopped,Rule.started,Rule.stopped,text_18.started,text_18.stopped,aver_image.started,aver_image.stopped,ins3.started,ins3.stopped,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_5.started,pre_instru_resp_5.stopped,ins3_2.started,ins3_2.stopped,pre_instru_resp_6.keys,pre_instru_resp_6.rt,pre_instru_resp_6.started,pre_instru_resp_6.stopped,check1.started,check1.stopped,a1.started,a1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,check2.started,check2.stopped,b1.started,b1.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,check3.started,check3.stopped,c1.started,c1.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,check4.started,check4.stopped,d1.started,d1.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,check5.started,check5.stopped,e1.started,e1.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,text_15.started,text_15.stopped,text.started,text.stopped,pre_instru_resp.keys,pre_instru_resp.rt,pre_instru_resp.started,pre_instru_resp.stopped,start_prac_text.started,start_prac_text.stopped,image.started,image.stopped,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.started,judge_2.stopped,prac_acc,text_10.started,text_10.stopped,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,judge.started,judge.stopped,clicked_guilt,text_16.started,text_16.stopped,text_14.started,text_14.stopped,text_12.started,text_12.stopped,PunishImg.started,PunishImg.stopped,slider_guilt.response,slider_guilt.rt,slider_guilt.started,slider_guilt.stopped,text_8.started,text_8.stopped,key_guilt.keys,key_guilt.rt,key_guilt.started,key_guilt.stopped,text_9.started,text_9.stopped,text_17.started,text_17.stopped,pairing_sub_cur_trial.started,pairing_sub_cur_trial.stopped,result_cur_trial.started,result_cur_trial.stopped,time_reminder.started,time_reminder.stopped,share_slider.response,share_slider.rt,share_slider.started,share_slider.stopped,share_text.started,share_text.stopped,key_share.keys,key_share.started,key_share.stopped,text_29.started,text_29.stopped,pairing_sub_cur_trial_2.started,pairing_sub_cur_trial_2.stopped,result_cur_trial_2.started,result_cur_trial_2.stopped,time_reminder2.started,time_reminder2.stopped,slider_apology.response,slider_apology.rt,slider_apology.started,slider_apology.stopped,text_apology.started,text_apology.stopped,key_apology.keys,key_apology.started,key_apology.stopped,slider_hide.response,slider_hide.rt,slider_hide.started,slider_hide.stopped,text_hide.started,text_hide.stopped,text_31.started,text_31.stopped,pairing_sub_cur_trial_3.started,pairing_sub_cur_trial_3.stopped,result_cur_trial_3.started,result_cur_trial_3.stopped,time_reminder3.started,time_reminder3.stopped,slider_forgiveness.response,slider_forgiveness.rt,slider_forgiveness.started,slider_forgiveness.stopped,text_forgiveness.started,text_forgiveness.stopped,key_forgiveness.keys,key_forgiveness.started,key_forgiveness.stopped,slider_mad.response,slider_mad.rt,slider_mad.started,slider_mad.stopped,text_mad.started,text_mad.stopped,text_19.started,text_19.stopped,pairing_sub_cur_trial_4.started,pairing_sub_cur_trial_4.stopped,result_cur_trial_4.started,result_cur_trial_4.stopped,time_reminder4.started,time_reminder4.stopped,key_share.rt,incompleteTrials,text_4.started,text_4.stopped,ave_img2.started,ave_img2.stopped,text_5.started,text_5.stopped,text_11.started,text_11.stopped,text_13.started,text_13.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[100, 74, 35, 117, 90, 174, 67, 141, 180, 2, 69, 156, 142, 136, 126, 20, 193, 79, 83, 110, 107, 131, 49, 106, 86, 183, 165, 168, 150, 169, 146, 109, 55, 44, 166, 200, 88, 184, 127, 68, 155, 56]",,29.158083125017583,None,t,2.158053125021979,29.158083125017583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,29.158083125017583,None,31.34939899999881,None,space,0.5067574999993667,31.34939899999881,None,31.34939899999881,None,31.870616625004914,None,space,0.1715337919886224,31.870616625004914,None,31.870616625004914,None,32.06780629203422,None,space,0.18638108298182487,32.06780629203422,None,32.06780629203422,None,32.27345487498678,None,space,0.2466935830307193,32.27345487498678,None,32.27345487498678,None,32.27345487498678,None,32.53688075003447,None,32.53688075003447,None,37.53370008402271,None,space,8.520477125013713,37.53370008402271,None,46.07117183401715,None,space,0.4219807499903254,46.07117183401715,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.546515459020156,None,space,0.7376480409875512,46.546515459020156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
RightButton_2,9dot2.png,Greater,Smaller,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.32411066698842,None,48.32993779203389,None,[],-0.24444444444444444,0.22,0,0,0,0.016028125362936407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
LeftButton_2,11dot2.png,Greater,Smaller,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8026230839896,None,56.82705104199704,None,[],-0.24444444444444444,0.22,0,0,0,0.015910999616608024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
LeftButton_2,11dot1.png,Greater,Smaller,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.30235700000776,None,65.33103783399565,None,[],-0.24444444444444444,0.22,0,0,0,0.015704249613918364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,Greater,Smaller,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,89.3769589170115,None,0.24305555555555555,-0.54,1,0,0,RightButton,0.006679957266896963,None,"['RightButton', 'RightButton']",95.52877691702452,None,None,None,None,None,97.95523229200626,100.94394925003871,41.0,2.1147908329730853,100.98501866700826,None,100.98501866700826,None,space,0.8071541670360602,103.10809654201148,None,100.98501866700826,None,103.09856041701278,None,100.98501866700826,None,100.98501866700826,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,Smaller,Greater,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.33055555555555555,-0.5044444444444445,1,0,0,RightButton,0.013772958365734667,None,"['RightButton', 'RightButton']",108.63975729199592,None,None,None,None,None,111.80752550001489,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,5,2.2219557499629445,114.82444387499709,None,114.82444387499709,None,space,117.05572233401472,None,117.04637529200409,None,114.82444387499709,None,114.82444387499709,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.4294967500027269,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,Smaller,Greater,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.3486111111111111,-0.4955555555555556,1,0,0,RightButton,0.004432999645359814,None,"['RightButton', 'RightButton']",122.42337433400098,None,None,None,None,None,125.64778804202797,128.6402614589897,27.0,3.468222874973435,128.66638424998382,None,128.66638424998382,None,space,1.6141726250061765,132.14804558403557,None,128.66638424998382,None,132.13949058402795,None,128.66638424998382,None,128.66638424998382,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
,,Greater,Smaller,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,0.2388888888888889,-0.5266666666666666,1,0,0,RightButton,0.015809084346983582,None,"['RightButton', 'RightButton']",138.84366112499265,None,None,None,None,None,142.43942687503295,145.4265727919992,54.0,4.028862792009022,145.46347070898628,None,145.46347070898628,None,space,0.16599579202011228,149.50626358401496,None,145.46347070898628,None,149.49224154202966,None,145.46347070898628,None,145.46347070898628,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,1,2024_Apr_29_1528,Interaction Game,2021.2.3,None,
